Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
02-10-1984,0.0,1.6812800100994887,1.6332439184188843,1.6332439184188843,479700,0.0,0.0
03-10-1984,0.0,1.6812800100994887,1.6332439184188843,1.6332439184188843,3150,0.0,0.0
04-10-1984,0.0,1.6572627961296453,1.609225869178772,1.609225869178772,7200,0.0,0.0
05-10-1984,0.0,1.6332442811165335,1.609225869178772,1.609225869178772,33300,0.0,0.0
08-10-1984,0.0,1.6332442811165335,1.609225869178772,1.609225869178772,4500,0.0,0.0
09-10-1984,0.0,1.6332442811165335,1.609225869178772,1.609225869178772,495000,0.0,0.0
10-10-1984,0.0,1.6332442811165335,1.609225869178772,1.609225869178772,23850,0.0,0.0
11-10-1984,0.0,1.6332442811165335,1.609225869178772,1.609225869178772,71100,0.0,0.0
12-10-1984,0.0,1.6332442811165335,1.609225869178772,1.609225869178772,27000,0.0,0.0
15-10-1984,0.0,1.6092258616451354,1.5371712446212769,1.5371712446212769,53550,0.0,0.0
16-10-1984,0.0,1.5371714676565666,1.489134430885315,1.489134430885315,50400,0.0,0.0
17-10-1984,0.0,1.489134072303142,1.4410979747772217,1.4410979747772217,96750,0.0,0.0
18-10-1984,0.0,1.489134072303142,1.4410979747772217,1.4410979747772217,98100,0.0,0.0
19-10-1984,0.0,1.489134072303142,1.4410979747772217,1.4410979747772217,68400,0.0,0.0
22-10-1984,0.0,1.489134072303142,1.4410979747772217,1.4410979747772217,31050,0.0,0.0
23-10-1984,0.0,1.489134072303142,1.4410979747772217,1.4410979747772217,18450,0.0,0.0
24-10-1984,0.0,1.489134072303142,1.4410979747772217,1.4410979747772217,95850,0.0,0.0
25-10-1984,0.0,1.489134072303142,1.4410979747772217,1.4410979747772217,24750,0.0,0.0
26-10-1984,0.0,1.4651155597011527,1.4410979747772217,1.4410979747772217,6300,0.0,0.0
29-10-1984,0.0,1.4651155597011527,1.4410979747772217,1.4410979747772217,166500,0.0,0.0
30-10-1984,0.0,1.6332442734704542,1.5371712446212769,1.5371712446212769,767700,0.0,0.0
31-10-1984,0.0,1.6332440357404439,1.5611895322799683,1.5611895322799683,43200,0.0,0.0
01-11-1984,0.0,1.6332441468953773,1.585207223892212,1.585207223892212,79200,0.0,0.0
02-11-1984,0.0,1.6332441468953773,1.585207223892212,1.585207223892212,784350,0.0,0.0
05-11-1984,0.0,1.6812801476720383,1.6572625637054443,1.6572625637054443,54450,0.0,0.0
06-11-1984,0.0,1.6812800100994887,1.6332439184188843,1.6332439184188843,12150,0.0,0.0
07-11-1984,0.0,1.6812800100994887,1.6332439184188843,1.6332439184188843,8100,0.0,0.0
08-11-1984,0.0,1.7052985197787633,1.6332439184188843,1.6332439184188843,15750,0.0,0.0
09-11-1984,0.0,1.7052985197787633,1.6332439184188843,1.6332439184188843,92700,0.0,0.0
12-11-1984,0.0,1.7293171709612687,1.6572625637054443,1.6572625637054443,53100,0.0,0.0
13-11-1984,0.0,1.729317281682537,1.681280255317688,1.681280255317688,41400,0.0,0.0
14-11-1984,0.0,1.729317281682537,1.681280255317688,1.681280255317688,50850,0.0,0.0
15-11-1984,0.0,1.729317281682537,1.681280255317688,1.681280255317688,40050,0.0,0.0
16-11-1984,0.0,1.7533356917896192,1.681280255317688,1.681280255317688,8100,0.0,0.0
19-11-1984,0.0,1.7533356917896192,1.681280255317688,1.681280255317688,88650,0.0,0.0
20-11-1984,0.0,1.7052986593166535,1.6572625637054443,1.6572625637054443,79650,0.0,0.0
21-11-1984,0.0,1.6092256274111711,1.5611895322799683,1.5611895322799683,27450,0.0,0.0
23-11-1984,0.0,1.6092256274111711,1.5611895322799683,1.5611895322799683,7650,0.0,0.0
26-11-1984,0.0,1.6092256274111711,1.5611895322799683,1.5611895322799683,103050,0.0,0.0
27-11-1984,0.0,1.6092256274111711,1.5611895322799683,1.5611895322799683,3600,0.0,0.0
28-11-1984,0.0,1.6092257369314655,1.585207223892212,1.585207223892212,56700,0.0,0.0
29-11-1984,0.0,1.6092257369314655,1.585207223892212,1.585207223892212,42300,0.0,0.0
30-11-1984,0.0,1.6332441468953773,1.585207223892212,1.585207223892212,113850,0.0,0.0
03-12-1984,0.0,1.6332441468953773,1.585207223892212,1.585207223892212,14850,0.0,0.0
04-12-1984,0.0,1.6332441468953773,1.585207223892212,1.585207223892212,39150,0.0,0.0
05-12-1984,0.0,1.6332441468953773,1.585207223892212,1.585207223892212,11250,0.0,0.0
06-12-1984,0.0,1.6572627961296453,1.609225869178772,1.609225869178772,23850,0.0,0.0
