Symbol,Date,Open,High,Low,Close,Volume,Trends,Sentiment
FAST,2008-06-27,7.382876037070878,7.492745196610367,7.299641806055302,7.452793121337891,8820800,88.0,negative
FAST,2008-06-30,7.387871394873607,7.391200840710479,7.176456346933702,7.184779644012451,8498000,90.0,neutral
FAST,2008-07-01,7.131509683100116,7.306301459469722,6.998335026581695,7.271343231201172,13176000,80.0,positive
FAST,2008-07-02,7.307967658763715,7.307967658763715,7.029964923858643,7.029964923858643,7591200,76.0,positive
FAST,2008-07-03,7.07490831191511,7.241376742783702,6.960045323225383,7.143160343170166,5679600,75.0,negative
FAST,2008-07-07,7.384541777738062,7.42615889719328,7.18145003158801,7.29464864730835,10384800,80.0,negative
FAST,2008-07-08,7.294649285847389,7.482758860058709,7.184780106269262,7.476099967956543,9120400,75.0,negative
FAST,2008-07-09,7.477761613777513,7.604277976919799,7.366228069849097,7.467773914337158,8434800,82.0,negative
FAST,2008-07-10,7.441140924681759,7.69417308170082,7.416170399537884,7.564327239990234,11228400,78.0,negative
FAST,2008-07-11,7.357904455840725,7.574313279683497,7.066584714314437,7.319616794586182,18474000,77.0,neutral
FAST,2008-07-14,7.782397997433516,7.792386330424816,7.253028414399549,7.432814598083496,12370400,77.0,neutral
FAST,2008-07-15,7.391197379530552,7.627582208011456,7.284657067722365,7.479425430297852,9578400,83.0,neutral
FAST,2008-07-16,7.491079381229704,7.790722429473559,7.4061807609875006,7.739117622375488,8712000,79.0,neutral
FAST,2008-07-17,7.770747956252966,8.300117722979136,7.650890458872913,8.220212936401367,16639200,77.0,neutral
FAST,2008-07-18,8.160284151572158,8.323423169490967,8.042091694971816,8.205230712890625,8331200,74.0,negative
FAST,2008-07-21,8.226873652080968,8.300120204613846,7.96385373033441,7.997147560119629,5364400,78.0,negative
FAST,2008-07-22,7.997143918431145,8.346727384417385,7.972173398706401,8.283469200134277,8577600,81.0,negative
FAST,2008-07-23,8.276809568864863,8.574787540881116,8.156952110160123,8.231863021850586,8920000,81.0,negative
FAST,2008-07-24,8.181921814249613,8.241849902631726,7.955524696939874,7.982159614562988,6679600,81.0,negative
FAST,2008-07-25,8.038760017733601,8.148629147667306,7.9505313248133405,8.042089462280273,6555200,82.0,negative
FAST,2008-07-28,8.062068102382698,8.135314001022588,7.745777753430755,7.777407169342041,5980400,80.0,positive
FAST,2008-07-29,7.819024742988009,8.285136362020157,7.810700810930138,8.238525390625,7548800,80.0,negative
FAST,2008-07-30,8.270155221042474,8.32675453706114,8.158620994611457,8.311772346496582,8759600,76.0,negative
FAST,2008-07-31,8.256834206243239,8.313433500121853,8.133647918701172,8.133647918701172,10121200,80.0,negative
FAST,2008-08-01,8.173601478580409,8.218548040889523,7.848988475837032,8.060402870178223,9067600,72.0,negative
FAST,2008-08-04,8.012130060208033,8.043758850456737,7.794056069995472,7.975506782531738,6682400,80.0,negative
FAST,2008-08-05,7.962186050529442,8.08537234454505,7.917239494055621,8.065396308898926,8893200,80.0,negative
FAST,2008-08-06,8.075386506763673,8.363377565279873,8.028775530831304,8.313436508178711,8758000,79.0,negative
FAST,2008-08-07,8.268488026391706,8.313434586376381,8.138642832009383,8.206894874572754,5280800,80.0,negative
FAST,2008-08-08,8.166941740327438,8.47157864954372,8.166941740327438,8.42330265045166,7222400,72.0,negative
FAST,2008-08-11,8.424968877702325,8.85279276988718,8.336740796948595,8.619736671447754,11319600,78.0,positive
FAST,2008-08-12,8.556475090530002,8.714619545440595,8.399994405001609,8.453264236450195,7059600,80.0,negative
FAST,2008-08-13,8.401663087837042,8.451603497098553,8.208559706339578,8.393339157104492,8432800,78.0,negative
FAST,2008-08-14,8.388318061828613,8.487063254205028,8.349824259843993,8.388318061828613,4982400,80.0,positive
FAST,2008-08-15,8.43350568294794,8.620953936001227,8.36321282747004,8.510493278503418,6732800,83.0,positive
FAST,2008-08-18,8.542293495368487,8.634343942486929,8.425138090651565,8.535598754882812,6834800,82.0,positive
FAST,2008-08-19,8.32639322908668,8.48371580598679,8.301288270505157,8.41844367980957,6758000,78.0,positive
FAST,2008-08-20,8.461956884221726,8.594174471727879,8.351496241407256,8.411746978759766,5294400,74.0,positive
FAST,2008-08-21,8.35986507050882,8.440200032384915,8.31802390462884,8.423463821411133,3087200,78.0,negative
FAST,2008-08-22,8.475346127200504,8.637690048771454,8.431831597302317,8.61593246459961,3370800,79.0,negative
FAST,2008-08-25,8.537275180134603,8.577442998997288,8.284554701470551,8.313006401062012,4178000,78.0,negative
FAST,2008-08-26,8.34312784843238,8.493756294250488,8.319696898737451,8.493756294250488,3890800,86.0,positive
FAST,2008-08-27,8.4870624624492,8.669489982585464,8.41676960584679,8.605891227722168,4241200,84.0,negative
FAST,2008-08-28,8.652755776604437,8.952338765644916,8.632672189839838,8.900455474853516,7641200,84.0,negative
FAST,2008-08-29,8.877020890106238,8.925556790197684,8.671162454156315,8.691246032714844,4601200,84.0,negative
FAST,2008-09-02,8.873672027391086,9.047731381463098,8.654424150332378,8.706307411193848,8108400,79.0,negative
FAST,2008-09-03,8.75149917602539,8.866980574139294,8.671164207105427,8.75149917602539,4733200,78.0,negative
FAST,2008-09-04,8.723048605822111,8.776605262556657,8.333089159070834,8.490411758422852,7716800,78.0,negative
FAST,2008-09-05,8.47199948072568,8.54396634044575,8.302961443662953,8.510493278503418,4930400,80.0,negative
FAST,2008-09-08,8.669489923137464,8.860285547973477,8.522208832312334,8.795013427734375,6889200,78.0,positive
FAST,2008-09-09,8.800037499386551,9.072841539981,8.713007766243487,8.733091354370117,14080000,93.0,positive
FAST,2008-09-10,8.995849902622927,9.044385804161664,8.716351244660375,8.800033569335938,18094400,77.0,positive
FAST,2008-09-11,8.724721840118734,9.046061752153207,8.652754969277455,9.036020278930664,8701600,78.0,neutral
FAST,2008-09-12,8.938947575354405,9.037692762557205,8.868654715877287,8.965725898742676,75870400,81.0,neutral
FAST,2008-09-15,8.63601628633943,9.037691729704504,8.605890596164773,8.840201377868652,12875600,79.0,positive
FAST,2008-09-16,8.731414182240853,9.347316194566188,8.731414182240853,9.280370712280272,16385600,83.0,neutral
FAST,2008-09-17,9.213427126822792,9.328909184939636,9.03936767578125,9.03936767578125,14072000,77.0,neutral
FAST,2008-09-18,9.096270331524687,9.149826979396767,8.656101671728894,9.067818641662598,17836800,79.0,positive
FAST,2008-09-19,9.340621480906009,9.45275549156764,8.242709131248567,8.974092483520508,20228400,79.0,positive
FAST,2008-09-22,8.945641679670983,8.954009785426198,8.72806773780768,8.769908905029297,6756000,76.0,positive
FAST,2008-09-23,8.751499558470961,9.02430353616912,8.70631101677017,8.71969985961914,7991200,80.0,positive
FAST,2008-09-24,8.846895953368321,8.868653537745212,8.461957366380933,8.625974655151367,8240000,78.0,positive
FAST,2008-09-25,8.661121368408203,8.838528142219854,8.533924504590125,8.661121368408203,7830800,79.0,positive
FAST,2008-09-26,8.443549699444329,8.523884683176583,8.294595210537917,8.43183422088623,12202400,79.0,positive
FAST,2008-09-29,8.279531811167145,8.41844417846179,7.767395605644365,7.841035842895508,12734000,75.0,positive
FAST,2008-09-30,8.073668224760848,8.26613712310791,7.866135849102654,8.26613712310791,9289200,78.0,positive
FAST,2008-10-01,8.249407777635016,8.249407777635016,7.54145503925062,7.573254108428955,17654800,85.0,positive
FAST,2008-10-02,7.481201052964665,7.494589894888454,7.017600829527634,7.171576023101807,23244400,83.0,positive
FAST,2008-10-03,7.385804813985726,7.541454045001456,6.960698298341781,7.022623062133789,19650800,80.0,positive
FAST,2008-10-06,6.701282532854469,6.85023700907151,6.215924662568125,6.764880657196045,22881600,80.0,positive
FAST,2008-10-07,6.736429654080436,6.91048910768613,6.185799598693848,6.185799598693848,18885200,78.0,positive
FAST,2008-10-08,6.085379159369259,6.465297015407495,5.827637428911432,6.16738748550415,24584000,81.0,positive
FAST,2008-10-09,6.210901253230865,6.513830811843671,6.038515896077927,6.058599472045898,14346800,80.0,positive
FAST,2008-10-10,5.939771654673307,6.433496856866611,5.648556885441221,6.229312419891357,23923600,76.0,negative
FAST,2008-10-13,6.619272371883897,6.840193678568972,6.267806830824604,6.773248195648193,16881200,73.0,negative
FAST,2008-10-14,7.163209905920933,7.278691971610109,6.374922226009979,6.612579822540283,15238400,75.0,negative
FAST,2008-10-15,6.3632049662732655,6.527222269772018,5.797512190794933,5.892910003662109,9808000,77.0,neutral
FAST,2008-10-16,5.926383165034451,6.215923978556257,5.621779505100735,6.180777549743652,15899600,70.0,neutral
FAST,2008-10-17,6.077011563536042,6.577431582975679,6.035170394893137,6.3297319412231445,13138400,75.0,neutral
FAST,2008-10-20,6.525550373186259,6.651073906635928,6.30295500074824,6.647726535797119,8106400,74.0,negative
FAST,2008-10-21,6.548982256625815,6.734757214550863,6.2209468909417005,6.2343363761901855,11448000,76.0,negative
FAST,2008-10-22,6.066970923096124,6.175758243302343,5.589981740382717,5.795840263366699,15218800,75.0,positive
FAST,2008-10-23,5.841027614753193,5.864458567911712,5.462783078650958,5.805880546569824,19439600,74.0,positive
FAST,2008-10-24,5.3473019335295175,5.650231611577564,5.315502553282978,5.343954563140869,12354800,78.0,positive
FAST,2008-10-27,5.3539983481373925,5.628476756949166,5.275337030058936,5.333914756774902,11261600,76.0,positive
FAST,2008-10-28,5.51132128470202,6.073666948498803,5.343956534212304,6.060277462005615,11414800,81.0,positive
FAST,2008-10-29,6.1205253657107646,6.880361050581387,6.015085454581373,6.547305107116699,17357200,79.0,negative
FAST,2008-10-30,6.694585390686506,6.860276660021979,6.448559173276244,6.664459705352783,9818400,75.0,negative
FAST,2008-10-31,6.714671480582168,6.845216378690582,6.560696265435903,6.738102436065674,10735200,73.0,negative
FAST,2008-11-03,6.791657283286681,6.990820971692537,6.773247071045428,6.90546464920044,8636800,82.0,negative
FAST,2008-11-04,6.933920270990256,7.10965309601437,6.801701991436162,7.000866413116455,6772000,71.0,negative
FAST,2008-11-05,6.652747755533068,6.689568198985829,6.169063807030538,6.179105281829834,13714800,68.0,positive
FAST,2008-11-06,6.165716422724896,6.3330811457755765,5.8025346417131285,5.830986976623535,11265200,80.0,positive
FAST,2008-11-07,5.924710417895245,6.14061038775133,5.877847869472414,6.102116584777832,6982400,75.0,positive
FAST,2008-11-10,6.287893397123731,6.328061216702869,5.881197017085473,6.031825542449951,6854400,82.0,negative
FAST,2008-11-11,6.025131200460224,6.169064992400336,5.703791176223032,6.021783828735352,10782800,79.0,negative
FAST,2008-11-12,5.770736346211833,5.859439456993197,5.496258265838992,5.518015861511231,17568800,78.0,positive
FAST,2008-11-13,5.466129771908977,6.120525567192252,5.280354897094929,6.1071367263793945,16297200,72.0,positive
FAST,2008-11-14,6.000023958561695,6.092075050006262,5.566549380329184,5.576591491699219,11146800,87.0,positive
FAST,2008-11-17,5.541444257632148,5.8293116907908695,5.462782659397952,5.516339302062988,7092000,77.0,positive
FAST,2008-11-18,5.5129934795274735,5.752325072934526,5.38746994333968,5.733914852142334,11951600,76.0,positive
FAST,2008-11-19,5.712156555253759,5.769060570478258,5.417594368757916,5.429309844970703,8520000,72.0,positive
FAST,2008-11-20,5.397512394079929,5.802534723088706,5.360691950189764,5.4125752449035645,12458000,78.0,positive
FAST,2008-11-21,5.464458048389957,5.958183433173501,5.372406946939477,5.956510066986084,10822400,74.0,positive
FAST,2008-11-24,6.108810970734293,6.329732302709857,5.99835030474651,6.256092071533203,10687200,74.0,positive
FAST,2008-11-25,6.321362969026756,6.425128874278339,6.0719893571683095,6.262784957885742,9050800,74.0,positive
FAST,2008-11-26,6.145633987588451,6.512162569986386,6.115508280712361,6.413417339324951,9950800,78.0,positive
FAST,2008-11-28,6.36487929271403,6.463624490569496,6.266134094858565,6.44521427154541,2414000,72.0,positive
FAST,2008-12-01,6.217599201133103,6.276176593965165,5.666969154728925,5.668642520904541,9239200,77.0,positive
FAST,2008-12-02,5.753997530090573,5.914667459972216,5.357342802735485,5.641862869262695,15276400,77.0,negative
FAST,2008-12-03,5.35673424656643,5.668858661760764,5.074978448126986,5.638489723205566,21356000,75.0,negative
FAST,2008-12-04,5.527137165665828,5.74140661286248,5.441092268785582,5.535573482513428,9732000,79.0,negative
FAST,2008-12-05,5.484957619177355,6.034972214035337,5.417471596203738,5.98773193359375,7334400,72.0,negative
FAST,2008-12-08,6.001227587931025,6.259362841307293,6.001227587931025,6.13282585144043,7950800,77.0,negative
FAST,2008-12-09,6.036658536389614,6.132826609080859,5.889875790218843,6.026535987854004,9538800,76.0,negative
FAST,2008-12-10,6.102458346660993,6.195252675767987,5.781898283675088,5.849384307861328,10491200,76.0,negative
FAST,2008-12-11,5.788645630014912,5.788645630014912,5.250441552133623,5.398911476135254,12384800,79.0,negative
FAST,2008-12-12,5.28587383413124,5.515327443328864,5.201515809123209,5.382041931152344,11763600,69.0,negative
FAST,2008-12-15,5.50857850329729,5.523762971372925,5.341549354465309,5.437717437744141,8773200,72.0,negative
FAST,2008-12-16,5.437717843298754,5.876379929532969,5.437717843298754,5.817328929901123,14345600,75.0,positive
FAST,2008-12-17,5.732968802126809,5.857818907874998,5.673918467813704,5.756588935852051,10452000,78.0,positive
FAST,2008-12-18,5.594622290549061,5.83082493770004,5.594622290549061,5.719472408294678,8905200,74.0,negative
FAST,2008-12-19,5.937116774541432,5.943865570103878,5.65536131761529,5.729596138000488,8713200,74.0,negative
FAST,2008-12-22,5.729594360927501,5.857818862441988,5.474833521666395,5.626677513122559,6500000,79.0,negative
FAST,2008-12-23,5.658736373137632,5.749843193018712,5.508579194222876,5.603059768676758,5043600,76.0,positive
FAST,2008-12-24,5.599685785845487,5.716100278861824,5.508579602807486,5.699228286743164,1872800,79.0,positive
