date,AZN,isPartial
2012-05-25,74,False
2012-05-26,62,False
2012-05-27,68,False
2012-05-28,80,False
2012-05-29,55,False
2012-05-30,54,False
2012-05-31,35,False
2012-06-01,77,False
2012-06-02,61,False
2012-06-03,48,False
2012-06-04,76,False
2012-06-05,62,False
2012-06-06,44,False
2012-06-07,56,False
2012-06-08,68,False
2012-06-09,67,False
2012-06-10,64,False
2012-06-11,92,False
2012-06-12,64,False
2012-06-13,66,False
2012-06-14,66,False
2012-06-15,40,False
2012-06-16,55,False
2012-06-17,77,False
2012-06-18,66,False
2012-06-19,56,False
2012-06-20,65,False
2012-06-21,38,False
2012-06-22,80,False
2012-06-23,72,False
2012-06-24,0,False
2012-06-25,64,False
2012-06-26,61,False
2012-06-27,55,False
2012-06-28,80,False
2012-06-29,75,False
2012-06-30,55,False
2012-07-01,49,False
2012-07-02,77,False
2012-07-03,43,False
2012-07-04,79,False
2012-07-05,50,False
2012-07-06,65,False
2012-07-07,53,False
2012-07-08,55,False
2012-07-09,64,False
2012-07-10,69,False
2012-07-11,53,False
2012-07-12,69,False
2012-07-13,70,False
2012-07-14,46,False
2012-07-15,62,False
2012-07-16,69,False
2012-07-17,74,False
2012-07-18,70,False
2012-07-19,51,False
2012-07-20,70,False
2012-07-21,43,False
2012-07-22,49,False
2012-07-23,48,False
2012-07-24,64,False
2012-07-25,50,False
2012-07-26,57,False
2012-07-27,70,False
2012-07-28,50,False
2012-07-29,71,False
2012-07-30,66,False
2012-07-31,70,False
2012-08-01,71,False
2012-08-02,59,False
2012-08-03,100,False
2012-08-04,41,False
2012-08-05,49,False
2012-08-06,49,False
2012-08-07,64,False
2012-08-08,71,False
2012-08-09,64,False
2012-08-10,59,False
2012-08-11,62,False
2012-08-12,57,False
2012-08-13,43,False
2012-08-14,61,False
2012-08-15,75,False
2012-08-16,77,False
2012-08-17,57,False
2012-08-18,59,False
2012-08-19,42,False
2012-08-20,64,False
2012-08-21,43,False
2012-08-22,44,False
2012-08-23,90,False
2012-08-24,53,False
2012-08-25,46,False
2012-08-26,67,False
2012-08-27,43,False
2012-08-28,79,False
2012-08-29,42,False
2012-08-30,55,False
2012-08-31,47,False
2012-09-01,48,False
2012-09-02,55,False
2012-09-03,51,False
2012-09-04,48,False
2012-09-05,59,False
2012-09-06,44,False
2012-09-07,52,False
2012-09-08,58,False
2012-09-09,65,False
2012-09-10,64,False
2012-09-11,58,False
2012-09-12,49,False
2012-09-13,50,False
2012-09-14,58,False
2012-09-15,51,False
2012-09-16,57,False
2012-09-17,55,False
2012-09-18,47,False
2012-09-19,56,False
2012-09-20,46,False
2012-09-21,49,False
2012-09-22,55,False
2012-09-23,60,False
2012-09-24,59,False
2012-09-25,70,False
2012-09-26,55,False
2012-09-27,65,False
2012-09-28,57,False
2012-09-29,53,False
2012-09-30,36,False
2012-10-01,67,False
2012-10-02,55,False
2012-10-03,47,False
2012-10-04,68,False
2012-10-05,79,False
2012-10-06,42,False
2012-10-07,47,False
2012-10-08,73,False
2012-10-09,80,False
2012-10-10,56,False
2012-10-11,59,False
2012-10-12,89,False
2012-10-13,80,False
2012-10-14,49,False
2012-10-15,60,False
2012-10-16,40,False
2012-10-17,56,False
2012-10-18,67,False
2012-10-19,48,False
2012-10-20,57,False
2012-10-21,55,False
2012-10-22,38,False
2012-10-23,56,False
2012-10-24,39,False
2012-10-25,75,False
2012-10-26,53,False
2012-10-27,46,False
2012-10-28,54,False
2012-10-29,52,False
2012-10-30,45,False
2012-10-31,42,False
2012-11-01,65,False
2012-11-02,64,False
2012-11-03,68,False
2012-11-04,63,False
2012-11-05,71,False
2012-11-06,44,False
2012-11-07,65,False
2012-11-08,35,False
2012-11-09,59,False
2012-11-10,70,False
2012-11-11,44,False
2012-11-12,51,False
2012-11-13,47,False
2012-11-14,61,False
2012-11-15,48,False
2012-11-16,45,False
2012-11-17,61,False
2012-11-18,47,False
2012-11-19,63,False
2012-11-20,49,False
2012-11-21,56,False
2012-11-22,53,False
2012-11-23,61,False
2012-11-24,40,False
2012-11-25,31,False
2012-11-26,51,False
2012-11-27,62,False
2012-11-28,49,False
2012-11-29,48,False
2012-11-30,69,False
2012-12-01,43,False
2012-12-02,58,False
2012-12-03,56,False
2012-12-04,60,False
2012-12-05,44,False
2012-12-06,59,False
2012-12-07,56,False
2012-12-08,67,False
2012-12-09,67,False
2012-12-10,54,False
2012-12-11,59,False
2012-12-12,40,False
2012-12-13,58,False
2012-12-14,46,False
2012-12-15,54,False
2012-12-16,57,False
2012-12-17,61,False
2012-12-18,84,False
2012-12-19,57,False
2012-12-20,59,False
2012-12-21,68,False
2012-12-22,96,False
2012-12-23,47,False
2012-12-24,86,False
2012-12-25,56,False
2012-12-26,64,False
2012-12-27,52,False
2012-12-28,44,False
2012-12-29,48,False
2012-12-30,54,False
2012-12-31,49,False
2013-01-01,77,False
2013-01-02,74,False
