date,ON,isPartial
2009-08-10,88,False
2009-08-11,88,False
2009-08-12,90,False
2009-08-13,89,False
2009-08-14,87,False
2009-08-15,92,False
2009-08-16,87,False
2009-08-17,91,False
2009-08-18,86,False
2009-08-19,92,False
2009-08-20,87,False
2009-08-21,89,False
2009-08-22,86,False
2009-08-23,94,False
2009-08-24,87,False
2009-08-25,85,False
2009-08-26,88,False
2009-08-27,85,False
2009-08-28,88,False
2009-08-29,92,False
2009-08-30,96,False
2009-08-31,85,False
2009-09-01,89,False
2009-09-02,87,False
2009-09-03,88,False
2009-09-04,82,False
2009-09-05,90,False
2009-09-06,91,False
2009-09-07,88,False
2009-09-08,86,False
2009-09-09,87,False
2009-09-10,92,False
2009-09-11,90,False
2009-09-12,91,False
2009-09-13,92,False
2009-09-14,89,False
2009-09-15,90,False
2009-09-16,96,False
2009-09-17,92,False
2009-09-18,90,False
2009-09-19,92,False
2009-09-20,94,False
2009-09-21,97,False
2009-09-22,96,False
2009-09-23,90,False
2009-09-24,90,False
2009-09-25,93,False
2009-09-26,93,False
2009-09-27,97,False
2009-09-28,92,False
2009-09-29,94,False
2009-09-30,94,False
2009-10-01,88,False
2009-10-02,87,False
2009-10-03,93,False
2009-10-04,97,False
2009-10-05,89,False
2009-10-06,96,False
2009-10-07,92,False
2009-10-08,90,False
2009-10-09,91,False
2009-10-10,89,False
2009-10-11,95,False
2009-10-12,97,False
2009-10-13,91,False
2009-10-14,90,False
2009-10-15,92,False
2009-10-16,87,False
2009-10-17,93,False
2009-10-18,97,False
2009-10-19,91,False
2009-10-20,92,False
2009-10-21,89,False
2009-10-22,90,False
2009-10-23,86,False
2009-10-24,93,False
2009-10-25,93,False
2009-10-26,92,False
2009-10-27,94,False
2009-10-28,91,False
2009-10-29,92,False
2009-10-30,88,False
2009-10-31,92,False
2009-11-01,95,False
2009-11-02,95,False
2009-11-03,97,False
2009-11-04,95,False
2009-11-05,88,False
2009-11-06,90,False
2009-11-07,92,False
2009-11-08,92,False
2009-11-09,97,False
2009-11-10,93,False
2009-11-11,97,False
2009-11-12,92,False
2009-11-13,91,False
2009-11-14,96,False
2009-11-15,96,False
2009-11-16,93,False
2009-11-17,92,False
2009-11-18,94,False
2009-11-19,95,False
2009-11-20,89,False
2009-11-21,91,False
2009-11-22,96,False
2009-11-23,94,False
2009-11-24,95,False
2009-11-25,94,False
2009-11-26,87,False
2009-11-27,87,False
2009-11-28,91,False
2009-11-29,95,False
2009-11-30,92,False
2009-12-01,91,False
2009-12-02,94,False
2009-12-03,90,False
2009-12-04,89,False
2009-12-05,92,False
2009-12-06,94,False
2009-12-07,93,False
2009-12-08,95,False
2009-12-09,92,False
2009-12-10,89,False
2009-12-11,93,False
2009-12-12,90,False
2009-12-13,90,False
2009-12-14,89,False
2009-12-15,88,False
2009-12-16,90,False
2009-12-17,89,False
2009-12-18,84,False
2009-12-19,93,False
2009-12-20,87,False
2009-12-21,87,False
2009-12-22,89,False
2009-12-23,88,False
2009-12-24,89,False
2009-12-25,100,False
2009-12-26,92,False
2009-12-27,88,False
2009-12-28,86,False
2009-12-29,92,False
2009-12-30,94,False
2009-12-31,96,False
2010-01-01,95,False
2010-01-02,94,False
2010-01-03,90,False
2010-01-04,85,False
2010-01-05,87,False
2010-01-06,90,False
2010-01-07,90,False
2010-01-08,91,False
2010-01-09,91,False
2010-01-10,95,False
2010-01-11,90,False
2010-01-12,87,False
2010-01-13,87,False
2010-01-14,96,False
2010-01-15,93,False
2010-01-16,96,False
2010-01-17,96,False
2010-01-18,92,False
2010-01-19,91,False
2010-01-20,94,False
2010-01-21,91,False
2010-01-22,91,False
2010-01-23,93,False
2010-01-24,99,False
2010-01-25,88,False
2010-01-26,95,False
2010-01-27,91,False
2010-01-28,91,False
2010-01-29,90,False
2010-01-30,91,False
2010-01-31,96,False
2010-02-01,95,False
2010-02-02,91,False
2010-02-03,89,False
2010-02-04,89,False
2010-02-05,89,False
2010-02-06,92,False
2010-02-07,96,False
2010-02-08,89,False
2010-02-09,90,False
2010-02-10,95,False
2010-02-11,85,False
2010-02-12,94,False
2010-02-13,80,False
2010-02-14,97,False
2010-02-15,95,False
2010-02-16,94,False
2010-02-17,90,False
2010-02-18,93,False
2010-02-19,89,False
2010-02-20,93,False
2010-02-21,94,False
2010-02-22,100,False
2010-02-23,96,False
2010-02-24,94,False
2010-02-25,94,False
2010-02-26,92,False
2010-02-27,93,False
2010-02-28,91,False
2010-03-01,90,False
2010-03-02,95,False
2010-03-03,86,False
2010-03-04,89,False
2010-03-05,92,False
2010-03-06,88,False
2010-03-07,92,False
2010-03-08,91,False
2010-03-09,91,False
2010-03-10,95,False
2010-03-11,93,False
2010-03-12,94,False
2010-03-13,90,False
2010-03-14,97,False
2010-03-15,91,False
2010-03-16,94,False
2010-03-17,92,False
2010-03-18,89,False
2010-03-19,90,False
2010-03-20,90,False
2010-03-21,95,False
2010-03-22,92,False
2010-03-23,94,False
2010-03-24,95,False
2010-03-25,92,False
2010-03-26,86,False
2010-03-27,93,False
2010-03-28,95,False
2010-03-29,93,False
2010-03-30,94,False
2010-03-31,93,False
2010-04-01,94,False
2010-04-02,98,False
2010-04-03,93,False
2010-04-04,95,False
2010-04-05,94,False
2010-04-06,96,False
2010-04-07,99,False
2010-04-08,97,False
2010-04-09,91,False
2010-04-10,98,False
2010-04-11,93,False
2010-04-12,92,False
2010-04-13,94,False
2010-04-14,95,False
2010-04-15,93,False
2010-04-16,91,False
2010-04-17,90,False
2010-04-18,97,False
2010-04-19,93,False
2010-04-20,91,False
2010-04-21,90,False
2010-04-22,94,False
2010-04-23,91,False
2010-04-24,93,False
2010-04-25,95,False
2010-04-26,100,False
2010-04-27,94,False
2010-04-28,96,False
2010-04-29,95,False
2010-04-30,92,False
2010-05-01,96,False
2010-05-02,96,False
2010-05-03,98,False
2010-05-04,92,False
2010-05-05,94,False
2010-05-06,93,False
2010-05-07,92,False
2010-05-08,92,False
2010-05-09,97,False
2010-05-10,90,False
2010-05-11,95,False
2010-05-12,96,False
2010-05-13,96,False
2010-05-14,92,False
2010-05-15,90,False
2010-05-16,93,False
2010-05-17,94,False
2010-05-18,93,False
2010-05-19,94,False
2010-05-20,92,False
2010-05-21,90,False
2010-05-22,94,False
2010-05-23,97,False
2010-05-24,95,False
2010-05-25,92,False
2010-05-26,93,False
2010-05-27,95,False
2010-05-28,88,False
2010-05-29,91,False
2010-05-30,88,False
2010-05-31,85,False
2010-06-01,91,False
2010-06-02,96,False
2010-06-03,90,False
2010-06-04,86,False
2010-06-05,96,False
2010-06-06,93,False
2010-06-07,91,False
2010-06-08,94,False
2010-06-09,93,False
2010-06-10,89,False
2010-06-11,87,False
2010-06-12,94,False
2010-06-13,91,False
2010-06-14,88,False
2010-06-15,88,False
2010-06-16,91,False
2010-06-17,92,False
2010-06-18,86,False
2010-06-19,93,False
2010-06-20,94,False
2010-06-21,92,False
2010-06-22,89,False
2010-06-23,93,False
2010-06-24,94,False
2010-06-25,91,False
2010-06-26,95,False
2010-06-27,97,False
2010-06-28,93,False
2010-06-29,92,False
2010-06-30,91,False
2010-07-01,77,False
2010-07-02,80,False
2010-07-03,82,False
2010-07-04,83,False
2010-07-05,75,False
2010-07-06,78,False
2010-07-07,80,False
2010-07-08,81,False
2010-07-09,82,False
2010-07-10,85,False
2010-07-11,85,False
2010-07-12,85,False
2010-07-13,83,False
2010-07-14,84,False
2010-07-15,81,False
2010-07-16,80,False
2010-07-17,84,False
2010-07-18,83,False
2010-07-19,81,False
2010-07-20,85,False
2010-07-21,85,False
2010-07-22,82,False
2010-07-23,82,False
2010-07-24,84,False
2010-07-25,87,False
2010-07-26,80,False
2010-07-27,84,False
2010-07-28,80,False
2010-07-29,81,False
2010-07-30,81,False
2010-07-31,83,False
2010-08-01,85,False
2010-08-02,82,False
2010-08-03,84,False
2010-08-04,76,False
2010-08-05,79,False
2010-08-06,81,False
2010-08-07,85,False
2010-08-08,87,False
2010-08-09,81,False
2010-08-10,81,False
2010-08-11,85,False
2010-08-12,82,False
2010-08-13,81,False
2010-08-14,85,False
2010-08-15,87,False
2010-08-16,82,False
2010-08-17,80,False
2010-08-18,76,False
2010-08-19,82,False
2010-08-20,82,False
2010-08-21,87,False
2010-08-22,85,False
2010-08-23,80,False
2010-08-24,81,False
2010-08-25,81,False
2010-08-26,81,False
2010-08-27,78,False
2010-08-28,79,False
2010-08-29,87,False
2010-08-30,76,False
2010-08-31,81,False
2010-09-01,78,False
2010-09-02,81,False
2010-09-03,80,False
2010-09-04,83,False
2010-09-05,92,False
2010-09-06,81,False
2010-09-07,76,False
2010-09-08,80,False
2010-09-09,81,False
2010-09-10,80,False
2010-09-11,85,False
2010-09-12,86,False
2010-09-13,83,False
2010-09-14,79,False
2010-09-15,77,False
2010-09-16,78,False
2010-09-17,80,False
2010-09-18,81,False
2010-09-19,84,False
2010-09-20,81,False
2010-09-21,80,False
2010-09-22,79,False
2010-09-23,81,False
2010-09-24,79,False
2010-09-25,80,False
2010-09-26,83,False
2010-09-27,82,False
2010-09-28,81,False
2010-09-29,86,False
2010-09-30,83,False
2010-10-01,83,False
2010-10-02,81,False
2010-10-03,86,False
2010-10-04,80,False
2010-10-05,85,False
2010-10-06,88,False
2010-10-07,87,False
2010-10-08,80,False
2010-10-09,82,False
2010-10-10,87,False
2010-10-11,82,False
2010-10-12,85,False
2010-10-13,82,False
2010-10-14,81,False
2010-10-15,81,False
2010-10-16,81,False
2010-10-17,86,False
2010-10-18,75,False
2010-10-19,83,False
2010-10-20,82,False
2010-10-21,77,False
2010-10-22,78,False
2010-10-23,82,False
2010-10-24,81,False
2010-10-25,83,False
2010-10-26,87,False
2010-10-27,81,False
2010-10-28,80,False
2010-10-29,87,False
2010-10-30,81,False
2010-10-31,84,False
2010-11-01,84,False
2010-11-02,86,False
2010-11-03,85,False
2010-11-04,81,False
2010-11-05,79,False
2010-11-06,84,False
2010-11-07,82,False
2010-11-08,81,False
2010-11-09,85,False
2010-11-10,85,False
2010-11-11,84,False
2010-11-12,82,False
2010-11-13,82,False
2010-11-14,85,False
2010-11-15,81,False
2010-11-16,84,False
2010-11-17,87,False
2010-11-18,82,False
2010-11-19,80,False
2010-11-20,79,False
2010-11-21,87,False
2010-11-22,81,False
2010-11-23,85,False
2010-11-24,81,False
2010-11-25,81,False
2010-11-26,78,False
2010-11-27,87,False
2010-11-28,87,False
2010-11-29,76,False
2010-11-30,84,False
2010-12-01,83,False
2010-12-02,85,False
2010-12-03,82,False
2010-12-04,81,False
2010-12-05,88,False
2010-12-06,86,False
2010-12-07,85,False
2010-12-08,87,False
2010-12-09,84,False
2010-12-10,79,False
2010-12-11,86,False
2010-12-12,90,False
2010-12-13,81,False
2010-12-14,84,False
2010-12-15,81,False
2010-12-16,81,False
2010-12-17,81,False
2010-12-18,84,False
2010-12-19,83,False
2010-12-20,81,False
2010-12-21,82,False
2010-12-22,82,False
2010-12-23,77,False
2010-12-24,85,False
2010-12-25,100,False
2010-12-26,92,False
2010-12-27,82,False
2010-12-28,84,False
2010-12-29,84,False
2010-12-30,89,False
2010-12-31,91,False
2011-01-01,93,False
2011-01-02,94,False
2011-01-03,89,False
2011-01-04,85,False
2011-01-05,86,False
2011-01-06,87,False
2011-01-07,87,False
2011-01-08,91,False
2011-01-09,99,False
2011-01-10,90,False
2011-01-11,86,False
2011-01-12,88,False
2011-01-13,90,False
2011-01-14,84,False
2011-01-15,87,False
2011-01-16,91,False
2011-01-17,87,False
2011-01-18,86,False
2011-01-19,91,False
2011-01-20,86,False
2011-01-21,85,False
2011-01-22,86,False
2011-01-23,93,False
2011-01-24,87,False
2011-01-25,86,False
2011-01-26,82,False
2011-01-27,84,False
2011-01-28,85,False
2011-01-29,91,False
2011-01-30,94,False
2011-01-31,86,False
2011-02-01,89,False
2011-02-02,85,False
2011-02-03,85,False
2011-02-04,86,False
2011-02-05,91,False
2011-02-06,91,False
2011-02-07,89,False
2011-02-08,86,False
2011-02-09,89,False
2011-02-10,87,False
2011-02-11,84,False
2011-02-12,87,False
2011-02-13,93,False
2011-02-14,85,False
2011-02-15,84,False
2011-02-16,85,False
2011-02-17,81,False
2011-02-18,89,False
2011-02-19,88,False
2011-02-20,92,False
2011-02-21,89,False
2011-02-22,87,False
2011-02-23,84,False
2011-02-24,83,False
2011-02-25,86,False
2011-02-26,86,False
2011-02-27,91,False
2011-02-28,84,False
2011-03-01,87,False
2011-03-02,88,False
2011-03-03,90,False
2011-03-04,86,False
2011-03-05,88,False
2011-03-06,93,False
2011-03-07,89,False
2011-03-08,88,False
2011-03-09,89,False
2011-03-10,85,False
2011-03-11,87,False
2011-03-12,85,False
2011-03-13,84,False
2011-03-14,81,False
2011-03-15,85,False
2011-03-16,87,False
2011-03-17,85,False
2011-03-18,85,False
2011-03-19,86,False
2011-03-20,93,False
2011-03-21,90,False
2011-03-22,87,False
2011-03-23,87,False
2011-03-24,83,False
2011-03-25,84,False
2011-03-26,90,False
2011-03-27,100,False
2011-03-28,90,False
2011-03-29,89,False
2011-03-30,91,False
2011-03-31,87,False
2011-04-01,83,False
2011-04-02,91,False
2011-04-03,93,False
2011-04-04,91,False
2011-04-05,90,False
2011-04-06,88,False
2011-04-07,91,False
2011-04-08,87,False
2011-04-09,89,False
2011-04-10,88,False
2011-04-11,83,False
2011-04-12,88,False
2011-04-13,89,False
2011-04-14,91,False
2011-04-15,90,False
2011-04-16,92,False
2011-04-17,92,False
2011-04-18,89,False
2011-04-19,90,False
2011-04-20,91,False
2011-04-21,93,False
2011-04-22,97,False
2011-04-23,92,False
2011-04-24,100,False
2011-04-25,93,False
2011-04-26,90,False
2011-04-27,91,False
2011-04-28,88,False
