date,CEG,isPartial
2016-07-08,85,False
2016-07-09,35,False
2016-07-10,48,False
2016-07-11,100,False
2016-07-12,77,False
2016-07-13,76,False
2016-07-14,81,False
2016-07-15,65,False
2016-07-16,38,False
2016-07-17,31,False
2016-07-18,68,False
2016-07-19,62,False
2016-07-20,63,False
2016-07-21,67,False
2016-07-22,45,False
2016-07-23,34,False
2016-07-24,43,False
2016-07-25,70,False
2016-07-26,56,False
2016-07-27,70,False
2016-07-28,58,False
2016-07-29,56,False
2016-07-30,31,False
2016-07-31,28,False
2016-08-01,77,False
2016-08-02,77,False
2016-08-03,87,False
2016-08-04,53,False
2016-08-05,32,False
2016-08-06,30,False
2016-08-07,25,False
2016-08-08,72,False
2016-08-09,60,False
2016-08-10,72,False
2016-08-11,75,False
2016-08-12,58,False
2016-08-13,31,False
2016-08-14,39,False
2016-08-15,82,False
2016-08-16,62,False
2016-08-17,56,False
2016-08-18,47,False
2016-08-19,48,False
2016-08-20,32,False
2016-08-21,37,False
2016-08-22,46,False
2016-08-23,67,False
2016-08-24,52,False
2016-08-25,55,False
2016-08-26,65,False
2016-08-27,34,False
2016-08-28,25,False
2016-08-29,53,False
2016-08-30,54,False
2016-08-31,63,False
2016-09-01,62,False
2016-09-02,60,False
2016-09-03,29,False
2016-09-04,34,False
2016-09-05,68,False
2016-09-06,63,False
2016-09-07,44,False
2016-09-08,77,False
2016-09-09,51,False
2016-09-10,26,False
2016-09-11,28,False
2016-09-12,62,False
2016-09-13,69,False
2016-09-14,63,False
2016-09-15,65,False
2016-09-16,50,False
2016-09-17,25,False
2016-09-18,30,False
2016-09-19,51,False
2016-09-20,73,False
2016-09-21,66,False
2016-09-22,61,False
2016-09-23,66,False
2016-09-24,25,False
2016-09-25,26,False
2016-09-26,68,False
2016-09-27,56,False
2016-09-28,64,False
2016-09-29,58,False
2016-09-30,59,False
2016-10-01,36,False
2016-10-02,24,False
2016-10-03,64,False
2016-10-04,76,False
2016-10-05,69,False
2016-10-06,65,False
2016-10-07,57,False
2016-10-08,42,False
2016-10-09,26,False
2016-10-10,80,False
2016-10-11,60,False
2016-10-12,48,False
2016-10-13,70,False
2016-10-14,57,False
2016-10-15,30,False
2016-10-16,34,False
2016-10-17,69,False
2016-10-18,64,False
2016-10-19,73,False
2016-10-20,54,False
2016-10-21,65,False
2016-10-22,34,False
2016-10-23,31,False
2016-10-24,64,False
2016-10-25,68,False
2016-10-26,65,False
2016-10-27,58,False
2016-10-28,52,False
2016-10-29,28,False
2016-10-30,21,False
2016-10-31,58,False
2016-11-01,64,False
2016-11-02,43,False
2016-11-03,78,False
2016-11-04,72,False
2016-11-05,39,False
2016-11-06,33,False
2016-11-07,86,False
2016-11-08,58,False
2016-11-09,62,False
2016-11-10,64,False
2016-11-11,55,False
2016-11-12,34,False
2016-11-13,30,False
2016-11-14,54,False
2016-11-15,28,False
2016-11-16,62,False
2016-11-17,68,False
2016-11-18,47,False
2016-11-19,39,False
2016-11-20,36,False
2016-11-21,73,False
2016-11-22,71,False
2016-11-23,62,False
2016-11-24,73,False
2016-11-25,64,False
2016-11-26,34,False
2016-11-27,33,False
2016-11-28,58,False
2016-11-29,60,False
2016-11-30,65,False
2016-12-01,72,False
2016-12-02,66,False
2016-12-03,26,False
2016-12-04,28,False
2016-12-05,95,False
2016-12-06,66,False
2016-12-07,77,False
2016-12-08,63,False
2016-12-09,59,False
2016-12-10,30,False
2016-12-11,27,False
2016-12-12,68,False
2016-12-13,62,False
2016-12-14,78,False
2016-12-15,64,False
2016-12-16,54,False
2016-12-17,32,False
2016-12-18,33,False
2016-12-19,65,False
2016-12-20,62,False
2016-12-21,70,False
2016-12-22,53,False
2016-12-23,40,False
2016-12-24,29,False
2016-12-25,25,False
2016-12-26,58,False
2016-12-27,50,False
2016-12-28,55,False
2016-12-29,50,False
2016-12-30,28,False
2016-12-31,20,False
2017-01-01,26,False
2017-01-02,73,False
2017-01-03,65,False
2017-01-04,61,False
2017-01-05,69,False
2017-01-06,58,False
2017-01-07,41,False
2017-01-08,29,False
2017-01-09,99,False
2017-01-10,95,False
2017-01-11,69,False
2017-01-12,79,False
2017-01-13,61,False
2017-01-14,26,False
2017-01-15,29,False
2017-01-16,67,False
2017-01-17,60,False
2017-01-18,66,False
2017-01-19,61,False
2017-01-20,50,False
2017-01-21,32,False
2017-01-22,37,False
2017-01-23,68,False
2017-01-24,64,False
2017-01-25,64,False
2017-01-26,55,False
2017-01-27,67,False
2017-01-28,34,False
2017-01-29,37,False
2017-01-30,79,False
2017-01-31,80,False
2017-02-01,85,False
2017-02-02,70,False
2017-02-03,66,False
2017-02-04,33,False
2017-02-05,24,False
2017-02-06,84,False
2017-02-07,65,False
2017-02-08,68,False
2017-02-09,80,False
2017-02-10,63,False
2017-02-11,40,False
2017-02-12,31,False
2017-02-13,65,False
2017-02-14,54,False
2017-02-15,72,False
2017-02-16,66,False
2017-02-17,52,False
2017-02-18,35,False
2017-02-19,25,False
2017-02-20,76,False
2017-02-21,58,False
2017-02-22,59,False
2017-02-23,68,False
2017-02-24,48,False
2017-02-25,33,False
2017-02-26,27,False
2017-02-27,38,False
2017-02-28,39,False
2017-03-01,44,False
2017-03-02,85,False
2017-03-03,77,False
2017-03-04,43,False
2017-03-05,37,False
2017-03-06,77,False
2017-03-07,76,False
2017-03-08,65,False
2017-03-09,68,False
2017-03-10,69,False
2017-03-11,39,False
2017-03-12,40,False
2017-03-13,83,False
2017-03-14,79,False
2017-03-15,81,False
2017-03-16,62,False
2017-03-17,56,False
2017-03-18,36,False
2017-03-19,41,False
2017-03-20,75,False
2017-03-21,80,False
2017-03-22,60,False
2017-03-23,61,False
2017-03-24,55,False
2017-03-25,34,False
2017-03-26,33,False
2017-03-27,75,False
2017-03-28,79,False
2017-03-29,64,False
2017-03-30,53,False
2017-03-31,76,False
2017-04-01,29,False
2017-04-02,31,False
2017-04-03,78,False
2017-04-04,90,False
2017-04-05,80,False
2017-04-06,67,False
2017-04-07,66,False
2017-04-08,35,False
2017-04-09,43,False
2017-04-10,91,False
2017-04-11,56,False
2017-04-12,62,False
2017-04-13,61,False
2017-04-14,35,False
2017-04-15,23,False
2017-04-16,26,False
2017-04-17,77,False
2017-04-18,75,False
2017-04-19,66,False
2017-04-20,73,False
2017-04-21,49,False
2017-04-22,22,False
2017-04-23,25,False
2017-04-24,83,False
2017-04-25,73,False
2017-04-26,59,False
2017-04-27,63,False
2017-04-28,70,False
2017-04-29,25,False
2017-04-30,40,False
2017-05-01,38,False
2017-05-02,86,False
2017-05-03,95,False
2017-05-04,99,False
2017-05-05,93,False
2017-05-06,47,False
2017-05-07,27,False
2017-05-08,100,False
2017-05-09,80,False
2017-05-10,82,False
2017-05-11,90,False
2017-05-12,91,False
2017-05-13,39,False
2017-05-14,40,False
2017-05-15,64,False
2017-05-16,72,False
2017-05-17,75,False
2017-05-18,63,False
2017-05-19,48,False
2017-05-20,22,False
2017-05-21,29,False
2017-05-22,57,False
2017-05-23,55,False
2017-05-24,72,False
2017-05-25,62,False
2017-05-26,58,False
2017-05-27,38,False
2017-05-28,27,False
2017-05-29,58,False
2017-05-30,66,False
2017-05-31,69,False
2017-06-01,77,False
2017-06-02,62,False
2017-06-03,17,False
2017-06-04,32,False
2017-06-05,82,False
2017-06-06,62,False
2017-06-07,69,False
2017-06-08,69,False
2017-06-09,61,False
2017-06-10,39,False
2017-06-11,25,False
2017-06-12,74,False
2017-06-13,70,False
2017-06-14,72,False
2017-06-15,38,False
2017-06-16,64,False
2017-06-17,37,False
2017-06-18,30,False
2017-06-19,72,False
2017-06-20,87,False
2017-06-21,95,False
2017-06-22,66,False
2017-06-23,57,False
2017-06-24,33,False
2017-06-25,33,False
2017-06-26,57,False
2017-06-27,76,False
2017-06-28,73,False
2017-06-29,73,False
2017-06-30,68,False
2017-07-01,36,False
2017-07-02,42,False
2017-07-03,100,False
2017-07-04,73,False
2017-07-05,73,False
2017-07-06,79,False
2017-07-07,64,False
2017-07-08,27,False
2017-07-09,31,False
2017-07-10,84,False
2017-07-11,64,False
2017-07-12,67,False
2017-07-13,57,False
2017-07-14,68,False
2017-07-15,28,False
2017-07-16,44,False
2017-07-17,76,False
2017-07-18,86,False
2017-07-19,76,False
2017-07-20,52,False
2017-07-21,58,False
2017-07-22,34,False
2017-07-23,33,False
2017-07-24,83,False
2017-07-25,78,False
2017-07-26,73,False
2017-07-27,60,False
2017-07-28,59,False
2017-07-29,39,False
2017-07-30,27,False
2017-07-31,73,False
2017-08-01,70,False
2017-08-02,83,False
2017-08-03,59,False
2017-08-04,63,False
2017-08-05,39,False
2017-08-06,31,False
2017-08-07,68,False
2017-08-08,69,False
2017-08-09,76,False
2017-08-10,76,False
2017-08-11,70,False
2017-08-12,26,False
2017-08-13,30,False
2017-08-14,77,False
2017-08-15,74,False
2017-08-16,69,False
2017-08-17,61,False
2017-08-18,55,False
2017-08-19,29,False
2017-08-20,26,False
2017-08-21,65,False
2017-08-22,70,False
2017-08-23,68,False
2017-08-24,53,False
2017-08-25,51,False
2017-08-26,40,False
2017-08-27,23,False
2017-08-28,57,False
2017-08-29,49,False
2017-08-30,67,False
2017-08-31,46,False
2017-09-01,68,False
2017-09-02,32,False
2017-09-03,28,False
2017-09-04,75,False
2017-09-05,77,False
2017-09-06,70,False
2017-09-07,40,False
2017-09-08,49,False
2017-09-09,27,False
2017-09-10,27,False
2017-09-11,63,False
2017-09-12,63,False
2017-09-13,56,False
2017-09-14,51,False
2017-09-15,64,False
2017-09-16,16,False
2017-09-17,23,False
2017-09-18,60,False
2017-09-19,61,False
2017-09-20,64,False
2017-09-21,50,False
2017-09-22,49,False
2017-09-23,33,False
2017-09-24,30,False
2017-09-25,77,False
2017-09-26,67,False
2017-09-27,67,False
2017-09-28,54,False
2017-09-29,61,False
2017-09-30,28,False
2017-10-01,33,False
2017-10-02,63,False
2017-10-03,78,False
2017-10-04,74,False
2017-10-05,70,False
2017-10-06,69,False
2017-10-07,33,False
2017-10-08,33,False
2017-10-09,80,False
2017-10-10,75,False
2017-10-11,55,False
2017-10-12,41,False
2017-10-13,58,False
2017-10-14,29,False
2017-10-15,25,False
2017-10-16,68,False
2017-10-17,60,False
2017-10-18,49,False
2017-10-19,57,False
2017-10-20,51,False
2017-10-21,30,False
2017-10-22,27,False
2017-10-23,64,False
2017-10-24,62,False
2017-10-25,59,False
2017-10-26,55,False
2017-10-27,44,False
2017-10-28,34,False
2017-10-29,23,False
2017-10-30,69,False
2017-10-31,61,False
2017-11-01,56,False
2017-11-02,28,False
2017-11-03,53,False
2017-11-04,25,False
2017-11-05,30,False
2017-11-06,90,False
2017-11-07,76,False
2017-11-08,74,False
2017-11-09,67,False
2017-11-10,54,False
2017-11-11,27,False
2017-11-12,28,False
2017-11-13,71,False
2017-11-14,69,False
2017-11-15,39,False
2017-11-16,72,False
2017-11-17,53,False
2017-11-18,30,False
2017-11-19,22,False
2017-11-20,47,False
2017-11-21,74,False
2017-11-22,54,False
2017-11-23,54,False
2017-11-24,48,False
2017-11-25,36,False
2017-11-26,43,False
2017-11-27,61,False
2017-11-28,73,False
2017-11-29,63,False
2017-11-30,65,False
2017-12-01,62,False
2017-12-02,27,False
2017-12-03,39,False
2017-12-04,64,False
2017-12-05,79,False
2017-12-06,61,False
2017-12-07,60,False
2017-12-08,53,False
2017-12-09,37,False
2017-12-10,26,False
2017-12-11,77,False
2017-12-12,61,False
2017-12-13,54,False
2017-12-14,51,False
2017-12-15,46,False
2017-12-16,29,False
2017-12-17,26,False
2017-12-18,67,False
2017-12-19,62,False
2017-12-20,42,False
2017-12-21,60,False
2017-12-22,47,False
2017-12-23,27,False
2017-12-24,35,False
2017-12-25,20,False
2017-12-26,44,False
2017-12-27,56,False
2017-12-28,51,False
2017-12-29,39,False
2017-12-30,25,False
2017-12-31,12,False
2018-01-01,22,False
2018-01-02,65,False
2018-01-03,62,False
2018-01-04,65,False
2018-01-05,65,False
2018-01-06,31,False
2018-01-07,25,False
2018-01-08,66,False
2018-01-09,72,False
2018-01-10,70,False
2018-01-11,68,False
2018-01-12,64,False
2018-01-13,28,False
2018-01-14,23,False
2018-01-15,65,False
2018-01-16,59,False
2018-01-17,52,False
2018-01-18,50,False
2018-01-19,46,False
2018-01-20,34,False
2018-01-21,26,False
2018-01-22,49,False
2018-01-23,52,False
2018-01-24,48,False
2018-01-25,58,False
2018-01-26,45,False
2018-01-27,20,False
2018-01-28,27,False
2018-01-29,56,False
2018-01-30,60,False
2018-01-31,51,False
2018-02-01,46,False
2018-02-02,51,False
2018-02-03,25,False
2018-02-04,28,False
2018-02-05,78,False
2018-02-06,64,False
2018-02-07,54,False
2018-02-08,62,False
2018-02-09,50,False
2018-02-10,32,False
2018-02-11,21,False
2018-02-12,34,False
2018-02-13,32,False
2018-02-14,45,False
2018-02-15,74,False
2018-02-16,60,False
2018-02-17,26,False
2018-02-18,24,False
2018-02-19,61,False
2018-02-20,47,False
2018-02-21,72,False
2018-02-22,51,False
2018-02-23,32,False
2018-02-24,29,False
2018-02-25,27,False
2018-02-26,54,False
2018-02-27,56,False
2018-02-28,67,False
2018-03-01,70,False
2018-03-02,71,False
2018-03-03,39,False
2018-03-04,36,False
2018-03-05,85,False
2018-03-06,64,False
2018-03-07,64,False
2018-03-08,57,False
2018-03-09,66,False
2018-03-10,34,False
2018-03-11,39,False
2018-03-12,64,False
2018-03-13,74,False
2018-03-14,54,False
2018-03-15,55,False
2018-03-16,75,False
