date,SIRI,isPartial
2019-01-13,81,False
2019-01-14,69,False
2019-01-15,65,False
2019-01-16,66,False
2019-01-17,66,False
2019-01-18,67,False
2019-01-19,73,False
2019-01-20,75,False
2019-01-21,62,False
2019-01-22,59,False
2019-01-23,63,False
2019-01-24,62,False
2019-01-25,64,False
2019-01-26,77,False
2019-01-27,78,False
2019-01-28,57,False
2019-01-29,58,False
2019-01-30,63,False
2019-01-31,62,False
2019-02-01,61,False
2019-02-02,68,False
2019-02-03,72,False
2019-02-04,60,False
2019-02-05,64,False
2019-02-06,58,False
2019-02-07,57,False
2019-02-08,62,False
2019-02-09,72,False
2019-02-10,71,False
2019-02-11,57,False
2019-02-12,57,False
2019-02-13,60,False
2019-02-14,58,False
2019-02-15,59,False
2019-02-16,66,False
2019-02-17,61,False
2019-02-18,59,False
2019-02-19,55,False
2019-02-20,59,False
2019-02-21,57,False
2019-02-22,64,False
2019-02-23,71,False
2019-02-24,71,False
2019-02-25,59,False
2019-02-26,53,False
2019-02-27,55,False
2019-02-28,54,False
2019-03-01,56,False
2019-03-02,62,False
2019-03-03,66,False
2019-03-04,56,False
2019-03-05,57,False
2019-03-06,55,False
2019-03-07,57,False
2019-03-08,62,False
2019-03-09,69,False
2019-03-10,70,False
2019-03-11,57,False
2019-03-12,56,False
2019-03-13,55,False
2019-03-14,57,False
2019-03-15,56,False
2019-03-16,64,False
2019-03-17,78,False
2019-03-18,59,False
2019-03-19,56,False
2019-03-20,57,False
2019-03-21,60,False
2019-03-22,59,False
2019-03-23,68,False
2019-03-24,72,False
2019-03-25,70,False
2019-03-26,64,False
2019-03-27,66,False
2019-03-28,61,False
2019-03-29,64,False
2019-03-30,71,False
2019-03-31,68,False
2019-04-01,56,False
2019-04-02,58,False
2019-04-03,59,False
2019-04-04,59,False
2019-04-05,61,False
2019-04-06,66,False
2019-04-07,68,False
2019-04-08,56,False
2019-04-09,56,False
2019-04-10,61,False
2019-04-11,62,False
2019-04-12,63,False
2019-04-13,73,False
2019-04-14,79,False
2019-04-15,59,False
2019-04-16,62,False
2019-04-17,77,False
2019-04-18,87,False
2019-04-19,85,False
2019-04-20,83,False
2019-04-21,100,False
2019-04-22,80,False
2019-04-23,74,False
2019-04-24,71,False
2019-04-25,75,False
2019-04-26,70,False
2019-04-27,67,False
2019-04-28,72,False
2019-04-29,65,False
2019-04-30,62,False
2019-05-01,62,False
2019-05-02,64,False
2019-05-03,74,False
2019-05-04,70,False
2019-05-05,77,False
2019-05-06,71,False
2019-05-07,64,False
2019-05-08,74,False
2019-05-09,62,False
2019-05-10,61,False
2019-05-11,68,False
2019-05-12,66,False
2019-05-13,57,False
2019-05-14,54,False
2019-05-15,57,False
2019-05-16,56,False
2019-05-17,59,False
2019-05-18,66,False
2019-05-19,63,False
2019-05-20,55,False
2019-05-21,55,False
2019-05-22,57,False
2019-05-23,57,False
2019-05-24,60,False
2019-05-25,68,False
2019-05-26,73,False
2019-05-27,59,False
2019-05-28,54,False
2019-05-29,59,False
2019-05-30,60,False
2019-05-31,60,False
2019-06-01,64,False
2019-06-02,68,False
2019-06-03,59,False
2019-06-04,58,False
2019-06-05,58,False
2019-06-06,58,False
2019-06-07,58,False
2019-06-08,67,False
2019-06-09,64,False
2019-06-10,56,False
2019-06-11,56,False
2019-06-12,57,False
2019-06-13,57,False
2019-06-14,59,False
2019-06-15,67,False
2019-06-16,65,False
2019-06-17,56,False
2019-06-18,60,False
2019-06-19,58,False
2019-06-20,61,False
2019-06-21,61,False
2019-06-22,66,False
2019-06-23,67,False
2019-06-24,58,False
2019-06-25,60,False
2019-06-26,59,False
2019-06-27,56,False
2019-06-28,60,False
2019-06-29,67,False
2019-06-30,65,False
2019-07-01,60,False
2019-07-02,63,False
2019-07-03,58,False
2019-07-04,68,False
2019-07-05,63,False
2019-07-06,75,False
2019-07-07,72,False
2019-07-08,62,False
2019-07-09,63,False
2019-07-10,62,False
2019-07-11,61,False
2019-07-12,66,False
2019-07-13,70,False
2019-07-14,69,False
2019-07-15,69,False
2019-07-16,61,False
2019-07-17,63,False
2019-07-18,62,False
2019-07-19,62,False
2019-07-20,73,False
2019-07-21,69,False
2019-07-22,63,False
2019-07-23,60,False
2019-07-24,62,False
2019-07-25,62,False
2019-07-26,70,False
2019-07-27,74,False
2019-07-28,72,False
2019-07-29,69,False
2019-07-30,70,False
2019-07-31,66,False
2019-08-01,63,False
2019-08-02,73,False
2019-08-03,70,False
2019-08-04,77,False
2019-08-05,61,False
2019-08-06,61,False
2019-08-07,62,False
2019-08-08,63,False
2019-08-09,64,False
2019-08-10,69,False
2019-08-11,71,False
2019-08-12,61,False
2019-08-13,63,False
2019-08-14,55,False
2019-08-15,60,False
2019-08-16,63,False
2019-08-17,66,False
2019-08-18,70,False
2019-08-19,63,False
2019-08-20,65,False
2019-08-21,59,False
2019-08-22,58,False
2019-08-23,60,False
2019-08-24,66,False
2019-08-25,66,False
2019-08-26,55,False
2019-08-27,57,False
2019-08-28,59,False
2019-08-29,63,False
2019-08-30,60,False
2019-08-31,67,False
2019-09-01,66,False
2019-09-02,58,False
2019-09-03,57,False
2019-09-04,55,False
2019-09-05,58,False
2019-09-06,56,False
2019-09-07,68,False
2019-09-08,69,False
2019-09-09,56,False
2019-09-10,71,False
2019-09-11,60,False
2019-09-12,54,False
2019-09-13,63,False
2019-09-14,72,False
2019-09-15,68,False
2019-09-16,53,False
2019-09-17,63,False
2019-09-18,63,False
2019-09-19,63,False
2019-09-20,68,False
2019-09-21,81,False
