date,WBA,isPartial
2009-02-21,29,False
2009-02-22,37,False
2009-02-23,24,False
2009-02-24,24,False
2009-02-25,13,False
2009-02-26,25,False
2009-02-27,22,False
2009-02-28,37,False
2009-03-01,23,False
2009-03-02,23,False
2009-03-03,43,False
2009-03-04,41,False
2009-03-05,30,False
2009-03-06,27,False
2009-03-07,31,False
2009-03-08,23,False
2009-03-09,35,False
2009-03-10,21,False
2009-03-11,25,False
2009-03-12,30,False
2009-03-13,22,False
2009-03-14,21,False
2009-03-15,30,False
2009-03-16,43,False
2009-03-17,34,False
2009-03-18,20,False
2009-03-19,36,False
2009-03-20,32,False
2009-03-21,36,False
2009-03-22,43,False
2009-03-23,37,False
2009-03-24,34,False
2009-03-25,23,False
2009-03-26,33,False
2009-03-27,22,False
2009-03-28,22,False
2009-03-29,16,False
2009-03-30,19,False
2009-03-31,25,False
2009-04-01,27,False
2009-04-02,26,False
2009-04-03,35,False
2009-04-04,32,False
2009-04-05,31,False
2009-04-06,23,False
2009-04-07,25,False
2009-04-08,37,False
2009-04-09,28,False
2009-04-10,31,False
2009-04-11,34,False
2009-04-12,26,False
2009-04-13,17,False
2009-04-14,27,False
2009-04-15,17,False
2009-04-16,19,False
2009-04-17,24,False
2009-04-18,31,False
2009-04-19,34,False
2009-04-20,36,False
2009-04-21,36,False
2009-04-22,20,False
2009-04-23,22,False
2009-04-24,23,False
2009-04-25,39,False
2009-04-26,25,False
2009-04-27,24,False
2009-04-28,31,False
2009-04-29,22,False
2009-04-30,22,False
2009-05-01,30,False
2009-05-02,46,False
2009-05-03,41,False
2009-05-04,23,False
2009-05-05,27,False
2009-05-06,22,False
2009-05-07,25,False
2009-05-08,17,False
2009-05-09,38,False
2009-05-10,36,False
2009-05-11,23,False
2009-05-12,18,False
2009-05-13,26,False
2009-05-14,23,False
2009-05-15,21,False
2009-05-16,37,False
2009-05-17,68,False
2009-05-18,30,False
2009-05-19,31,False
2009-05-20,24,False
2009-05-21,28,False
2009-05-22,26,False
2009-05-23,24,False
2009-05-24,36,False
2009-05-25,23,False
2009-05-26,25,False
2009-05-27,25,False
2009-05-28,28,False
2009-05-29,29,False
2009-05-30,31,False
2009-05-31,33,False
2009-06-01,26,False
2009-06-02,27,False
2009-06-03,26,False
2009-06-04,27,False
2009-06-05,15,False
2009-06-06,38,False
2009-06-07,37,False
2009-06-08,34,False
2009-06-09,27,False
2009-06-10,29,False
2009-06-11,37,False
2009-06-12,22,False
2009-06-13,44,False
2009-06-14,41,False
2009-06-15,30,False
2009-06-16,35,False
2009-06-17,36,False
2009-06-18,39,False
2009-06-19,42,False
2009-06-20,59,False
2009-06-21,53,False
2009-06-22,44,False
2009-06-23,37,False
2009-06-24,22,False
2009-06-25,35,False
2009-06-26,34,False
2009-06-27,27,False
2009-06-28,35,False
2009-06-29,29,False
2009-06-30,42,False
2009-07-01,30,False
2009-07-02,34,False
2009-07-03,28,False
2009-07-04,25,False
2009-07-05,30,False
2009-07-06,20,False
2009-07-07,26,False
2009-07-08,28,False
2009-07-09,29,False
2009-07-10,29,False
2009-07-11,37,False
2009-07-12,30,False
2009-07-13,27,False
2009-07-14,33,False
2009-07-15,35,False
2009-07-16,23,False
2009-07-17,21,False
2009-07-18,45,False
2009-07-19,40,False
2009-07-20,21,False
2009-07-21,29,False
2009-07-22,27,False
2009-07-23,33,False
2009-07-24,31,False
2009-07-25,23,False
2009-07-26,26,False
2009-07-27,23,False
2009-07-28,24,False
2009-07-29,24,False
2009-07-30,21,False
2009-07-31,21,False
2009-08-01,30,False
2009-08-02,24,False
2009-08-03,24,False
2009-08-04,32,False
2009-08-05,29,False
2009-08-06,34,False
2009-08-07,32,False
2009-08-08,66,False
2009-08-09,36,False
2009-08-10,28,False
2009-08-11,32,False
2009-08-12,28,False
2009-08-13,31,False
2009-08-14,29,False
2009-08-15,32,False
2009-08-16,27,False
2009-08-17,33,False
2009-08-18,26,False
