date,HON,isPartial
2008-09-10,70,False
2008-09-11,76,False
2008-09-12,77,False
2008-09-13,76,False
2008-09-14,79,False
2008-09-15,71,False
2008-09-16,77,False
2008-09-17,73,False
2008-09-18,70,False
2008-09-19,71,False
2008-09-20,74,False
2008-09-21,86,False
2008-09-22,74,False
2008-09-23,74,False
2008-09-24,72,False
2008-09-25,76,False
2008-09-26,70,False
2008-09-27,91,False
2008-09-28,85,False
2008-09-29,74,False
2008-09-30,69,False
2008-10-01,82,False
2008-10-02,79,False
2008-10-03,76,False
2008-10-04,99,False
2008-10-05,68,False
2008-10-06,78,False
2008-10-07,75,False
2008-10-08,80,False
2008-10-09,85,False
2008-10-10,71,False
2008-10-11,78,False
2008-10-12,97,False
2008-10-13,81,False
2008-10-14,89,False
2008-10-15,69,False
2008-10-16,84,False
2008-10-17,73,False
2008-10-18,81,False
2008-10-19,79,False
2008-10-20,83,False
2008-10-21,73,False
2008-10-22,77,False
2008-10-23,83,False
2008-10-24,86,False
2008-10-25,88,False
2008-10-26,78,False
2008-10-27,73,False
2008-10-28,73,False
2008-10-29,88,False
2008-10-30,76,False
2008-10-31,85,False
2008-11-01,90,False
2008-11-02,71,False
2008-11-03,73,False
2008-11-04,77,False
2008-11-05,68,False
2008-11-06,69,False
2008-11-07,84,False
2008-11-08,77,False
2008-11-09,78,False
2008-11-10,75,False
2008-11-11,82,False
2008-11-12,77,False
2008-11-13,77,False
2008-11-14,74,False
2008-11-15,78,False
2008-11-16,77,False
2008-11-17,80,False
2008-11-18,72,False
2008-11-19,78,False
2008-11-20,79,False
2008-11-21,71,False
2008-11-22,80,False
2008-11-23,82,False
2008-11-24,80,False
2008-11-25,72,False
2008-11-26,79,False
2008-11-27,71,False
2008-11-28,79,False
2008-11-29,71,False
2008-11-30,67,False
2008-12-01,65,False
2008-12-02,68,False
2008-12-03,63,False
2008-12-04,72,False
2008-12-05,84,False
2008-12-06,85,False
2008-12-07,83,False
2008-12-08,83,False
2008-12-09,81,False
2008-12-10,74,False
2008-12-11,80,False
2008-12-12,92,False
2008-12-13,89,False
2008-12-14,84,False
2008-12-15,75,False
2008-12-16,88,False
2008-12-17,78,False
2008-12-18,75,False
2008-12-19,82,False
2008-12-20,89,False
2008-12-21,85,False
2008-12-22,77,False
2008-12-23,83,False
2008-12-24,81,False
2008-12-25,100,False
2008-12-26,88,False
2008-12-27,87,False
2008-12-28,84,False
2008-12-29,81,False
2008-12-30,85,False
2008-12-31,85,False
2009-01-01,69,False
2009-01-02,61,False
2009-01-03,68,False
2009-01-04,64,False
2009-01-05,62,False
2009-01-06,67,False
2009-01-07,66,False
2009-01-08,76,False
2009-01-09,67,False
2009-01-10,71,False
2009-01-11,66,False
2009-01-12,60,False
2009-01-13,63,False
2009-01-14,64,False
2009-01-15,66,False
2009-01-16,62,False
2009-01-17,89,False
2009-01-18,68,False
2009-01-19,61,False
2009-01-20,58,False
2009-01-21,61,False
2009-01-22,62,False
2009-01-23,57,False
2009-01-24,51,False
2009-01-25,51,False
2009-01-26,51,False
2009-01-27,51,False
2009-01-28,50,False
2009-01-29,58,False
2009-01-30,62,False
2009-01-31,66,False
2009-02-01,74,False
2009-02-02,75,False
2009-02-03,71,False
2009-02-04,69,False
2009-02-05,70,False
2009-02-06,73,False
2009-02-07,73,False
2009-02-08,73,False
2009-02-09,63,False
2009-02-10,66,False
2009-02-11,73,False
2009-02-12,77,False
2009-02-13,73,False
2009-02-14,73,False
2009-02-15,77,False
2009-02-16,69,False
2009-02-17,74,False
2009-02-18,78,False
2009-02-19,78,False
2009-02-20,79,False
2009-02-21,81,False
2009-02-22,78,False
2009-02-23,70,False
2009-02-24,75,False
2009-02-25,67,False
2009-02-26,71,False
2009-02-27,78,False
2009-02-28,80,False
2009-03-01,76,False
2009-03-02,60,False
2009-03-03,70,False
2009-03-04,67,False
2009-03-05,74,False
2009-03-06,79,False
2009-03-07,88,False
2009-03-08,80,False
2009-03-09,66,False
2009-03-10,64,False
2009-03-11,69,False
2009-03-12,76,False
2009-03-13,79,False
2009-03-14,73,False
2009-03-15,75,False
2009-03-16,65,False
2009-03-17,76,False
2009-03-18,76,False
2009-03-19,77,False
2009-03-20,80,False
2009-03-21,81,False
2009-03-22,77,False
2009-03-23,68,False
2009-03-24,71,False
2009-03-25,79,False
2009-03-26,76,False
2009-03-27,82,False
2009-03-28,73,False
2009-03-29,83,False
2009-03-30,72,False
2009-03-31,67,False
2009-04-01,74,False
2009-04-02,73,False
2009-04-03,76,False
2009-04-04,76,False
2009-04-05,81,False
2009-04-06,68,False
2009-04-07,71,False
2009-04-08,74,False
2009-04-09,83,False
2009-04-10,87,False
2009-04-11,100,False
2009-04-12,88,False
2009-04-13,89,False
2009-04-14,78,False
2009-04-15,73,False
2009-04-16,77,False
2009-04-17,70,False
2009-04-18,93,False
2009-04-19,79,False
2009-04-20,79,False
2009-04-21,69,False
2009-04-22,70,False
2009-04-23,79,False
2009-04-24,82,False
2009-04-25,96,False
2009-04-26,88,False
2009-04-27,72,False
2009-04-28,73,False
2009-04-29,77,False
2009-04-30,66,False
2009-05-01,75,False
2009-05-02,71,False
2009-05-03,73,False
2009-05-04,68,False
2009-05-05,64,False
2009-05-06,69,False
2009-05-07,79,False
2009-05-08,83,False
2009-05-09,88,False
2009-05-10,83,False
2009-05-11,71,False
2009-05-12,74,False
2009-05-13,66,False
2009-05-14,64,False
2009-05-15,77,False
2009-05-16,81,False
2009-05-17,74,False
2009-05-18,78,False
2009-05-19,73,False
2009-05-20,71,False
2009-05-21,75,False
2009-05-22,76,False
2009-05-23,91,False
2009-05-24,78,False
2009-05-25,76,False
2009-05-26,77,False
2009-05-27,76,False
2009-05-28,63,False
2009-05-29,82,False
2009-05-30,85,False
2009-05-31,80,False
2009-06-01,77,False
2009-06-02,70,False
2009-06-03,73,False
2009-06-04,79,False
2009-06-05,76,False
2009-06-06,76,False
2009-06-07,71,False
2009-06-08,68,False
2009-06-09,77,False
2009-06-10,67,False
2009-06-11,76,False
2009-06-12,78,False
2009-06-13,91,False
2009-06-14,81,False
2009-06-15,71,False
2009-06-16,81,False
2009-06-17,73,False
2009-06-18,69,False
2009-06-19,77,False
2009-06-20,78,False
2009-06-21,74,False
2009-06-22,73,False
2009-06-23,73,False
2009-06-24,73,False
2009-06-25,64,False
2009-06-26,75,False
2009-06-27,73,False
2009-06-28,76,False
2009-06-29,69,False
2009-06-30,71,False
2009-07-01,41,False
2009-07-02,39,False
2009-07-03,40,False
2009-07-04,47,False
2009-07-05,44,False
2009-07-06,46,False
2009-07-07,41,False
2009-07-08,42,False
2009-07-09,43,False
2009-07-10,47,False
2009-07-11,53,False
2009-07-12,54,False
2009-07-13,43,False
2009-07-14,41,False
2009-07-15,45,False
2009-07-16,47,False
2009-07-17,46,False
2009-07-18,52,False
2009-07-19,53,False
2009-07-20,48,False
2009-07-21,41,False
2009-07-22,46,False
2009-07-23,43,False
2009-07-24,47,False
2009-07-25,52,False
2009-07-26,57,False
2009-07-27,45,False
2009-07-28,48,False
2009-07-29,50,False
2009-07-30,52,False
2009-07-31,49,False
2009-08-01,60,False
2009-08-02,57,False
2009-08-03,53,False
2009-08-04,55,False
2009-08-05,57,False
2009-08-06,56,False
2009-08-07,55,False
2009-08-08,60,False
2009-08-09,58,False
2009-08-10,54,False
2009-08-11,58,False
2009-08-12,53,False
2009-08-13,59,False
2009-08-14,56,False
2009-08-15,66,False
2009-08-16,57,False
2009-08-17,53,False
2009-08-18,55,False
2009-08-19,55,False
2009-08-20,57,False
2009-08-21,54,False
2009-08-22,70,False
2009-08-23,62,False
2009-08-24,49,False
2009-08-25,54,False
2009-08-26,50,False
2009-08-27,59,False
2009-08-28,58,False
