date,MRNA,isPartial
2014-02-06,76,False
2014-02-07,61,False
2014-02-08,36,False
2014-02-09,60,False
2014-02-10,89,False
2014-02-11,92,False
2014-02-12,88,False
2014-02-13,77,False
2014-02-14,55,False
2014-02-15,30,False
2014-02-16,37,False
2014-02-17,65,False
2014-02-18,75,False
2014-02-19,89,False
2014-02-20,79,False
2014-02-21,69,False
2014-02-22,41,False
2014-02-23,52,False
2014-02-24,76,False
2014-02-25,100,False
2014-02-26,81,False
2014-02-27,85,False
2014-02-28,74,False
2014-03-01,33,False
2014-03-02,48,False
2014-03-03,70,False
2014-03-04,84,False
2014-03-05,86,False
2014-03-06,86,False
2014-03-07,75,False
2014-03-08,28,False
2014-03-09,56,False
2014-03-10,81,False
2014-03-11,76,False
2014-03-12,75,False
2014-03-13,75,False
2014-03-14,61,False
2014-03-15,30,False
2014-03-16,46,False
2014-03-17,86,False
2014-03-18,73,False
2014-03-19,85,False
2014-03-20,73,False
2014-03-21,61,False
2014-03-22,31,False
2014-03-23,45,False
2014-03-24,77,False
2014-03-25,71,False
2014-03-26,78,False
2014-03-27,72,False
2014-03-28,72,False
2014-03-29,33,False
2014-03-30,36,False
2014-03-31,77,False
2014-04-01,79,False
2014-04-02,83,False
2014-04-03,75,False
2014-04-04,64,False
2014-04-05,33,False
2014-04-06,45,False
2014-04-07,73,False
2014-04-08,88,False
2014-04-09,84,False
2014-04-10,79,False
2014-04-11,76,False
2014-04-12,25,False
2014-04-13,40,False
2014-04-14,72,False
2014-04-15,69,False
2014-04-16,76,False
2014-04-17,62,False
2014-04-18,45,False
2014-04-19,31,False
2014-04-20,31,False
2014-04-21,65,False
2014-04-22,62,False
2014-04-23,72,False
2014-04-24,81,False
2014-04-25,67,False
2014-04-26,32,False
2014-04-27,44,False
2014-04-28,78,False
2014-04-29,78,False
2014-04-30,78,False
2014-05-01,63,False
2014-05-02,55,False
2014-05-03,31,False
2014-05-04,42,False
2014-05-05,65,False
2014-05-06,69,False
2014-05-07,61,False
2014-05-08,68,False
2014-05-09,44,False
2014-05-10,25,False
2014-05-11,41,False
2014-05-12,58,False
2014-05-13,56,False
2014-05-14,55,False
2014-05-15,52,False
2014-05-16,41,False
2014-05-17,27,False
2014-05-18,41,False
2014-05-19,57,False
2014-05-20,59,False
2014-05-21,51,False
2014-05-22,57,False
2014-05-23,46,False
2014-05-24,17,False
2014-05-25,34,False
2014-05-26,49,False
2014-05-27,57,False
2014-05-28,57,False
2014-05-29,53,False
2014-05-30,36,False
2014-05-31,19,False
2014-06-01,41,False
2014-06-02,49,False
2014-06-03,46,False
2014-06-04,46,False
2014-06-05,50,False
2014-06-06,42,False
2014-06-07,15,False
2014-06-08,36,False
2014-06-09,41,False
2014-06-10,51,False
2014-06-11,45,False
2014-06-12,43,False
2014-06-13,33,False
2014-06-14,16,False
2014-06-15,22,False
2014-06-16,39,False
2014-06-17,43,False
2014-06-18,35,False
2014-06-19,41,False
2014-06-20,24,False
2014-06-21,22,False
2014-06-22,23,False
2014-06-23,35,False
2014-06-24,35,False
2014-06-25,36,False
2014-06-26,31,False
2014-06-27,20,False
2014-06-28,11,False
2014-06-29,25,False
2014-06-30,38,False
2014-07-01,23,False
2014-07-02,24,False
2014-07-03,27,False
2014-07-04,17,False
2014-07-05,9,False
2014-07-06,19,False
2014-07-07,32,False
2014-07-08,23,False
2014-07-09,32,False
2014-07-10,31,False
2014-07-11,26,False
2014-07-12,16,False
2014-07-13,18,False
2014-07-14,34,False
2014-07-15,30,False
2014-07-16,31,False
2014-07-17,27,False
2014-07-18,27,False
2014-07-19,17,False
2014-07-20,17,False
2014-07-21,25,False
2014-07-22,31,False
2014-07-23,33,False
2014-07-24,24,False
2014-07-25,22,False
2014-07-26,16,False
2014-07-27,21,False
2014-07-28,28,False
2014-07-29,32,False
2014-07-30,27,False
2014-07-31,28,False
2014-08-01,24,False
2014-08-02,15,False
2014-08-03,18,False
2014-08-04,28,False
2014-08-05,28,False
2014-08-06,27,False
2014-08-07,20,False
2014-08-08,16,False
2014-08-09,12,False
2014-08-10,17,False
2014-08-11,24,False
2014-08-12,21,False
2014-08-13,29,False
2014-08-14,19,False
2014-08-15,24,False
2014-08-16,17,False
2014-08-17,18,False
2014-08-18,21,False
2014-08-19,20,False
2014-08-20,27,False
2014-08-21,33,False
2014-08-22,23,False
2014-08-23,21,False
2014-08-24,20,False
2014-08-25,23,False
2014-08-26,32,False
2014-08-27,30,False
2014-08-28,27,False
2014-08-29,27,False
2014-08-30,14,False
2014-08-31,17,False
2014-09-01,23,False
2014-09-02,33,False
2014-09-03,40,False
2014-09-04,41,False
2014-09-05,39,False
2014-09-06,25,False
2014-09-07,29,False
2014-09-08,43,False
2014-09-09,50,False
2014-09-10,52,False
2014-09-11,50,False
2014-09-12,37,False
2014-09-13,24,False
2014-09-14,40,False
2014-09-15,55,False
2014-09-16,57,False
2014-09-17,54,False
2014-09-18,44,False
2014-09-19,43,False
2014-09-20,23,False
2014-09-21,40,False
2014-09-22,60,False
2014-09-23,55,False
2014-09-24,60,False
2014-09-25,57,False
2014-09-26,36,False
2014-09-27,26,False
2014-09-28,40,False
2014-09-29,61,False
2014-09-30,58,False
2014-10-01,59,False
2014-10-02,60,False
2014-10-03,57,False
2014-10-04,29,False
2014-10-05,50,False
2014-10-06,65,False
2014-10-07,67,False
2014-10-08,69,False
2014-10-09,57,False
2014-10-10,59,False
2014-10-11,34,False
2014-10-12,40,False
2014-10-13,63,False
2014-10-14,64,False
2014-10-15,62,False
2014-10-16,57,False
2014-10-17,52,False
2014-10-18,40,False
2014-10-19,52,False
2014-10-20,77,False
2014-10-21,73,False
2014-10-22,72,False
2014-10-23,72,False
2014-10-24,51,False
2014-10-25,36,False
2014-10-26,45,False
2014-10-27,87,False
2014-10-28,75,False
2014-10-29,83,False
2014-10-30,58,False
2014-10-31,46,False
2014-11-01,34,False
2014-11-02,48,False
2014-11-03,78,False
2014-11-04,71,False
2014-11-05,75,False
2014-11-06,72,False
2014-11-07,52,False
2014-11-08,37,False
2014-11-09,49,False
2014-11-10,76,False
2014-11-11,86,False
2014-11-12,89,False
2014-11-13,80,False
2014-11-14,71,False
2014-11-15,30,False
2014-11-16,55,False
2014-11-17,91,False
2014-11-18,98,False
2014-11-19,85,False
2014-11-20,88,False
2014-11-21,75,False
2014-11-22,40,False
2014-11-23,51,False
2014-11-24,72,False
2014-11-25,72,False
2014-11-26,50,False
2014-11-27,34,False
2014-11-28,27,False
2014-11-29,28,False
2014-11-30,46,False
2014-12-01,75,False
2014-12-02,76,False
2014-12-03,82,False
2014-12-04,90,False
2014-12-05,83,False
2014-12-06,49,False
2014-12-07,57,False
2014-12-08,100,False
2014-12-09,92,False
2014-12-10,82,False
2014-12-11,92,False
2014-12-12,77,False
2014-12-13,32,False
2014-12-14,58,False
2014-12-15,99,False
2014-12-16,78,False
2014-12-17,64,False
2014-12-18,65,False
2014-12-19,43,False
2014-12-20,19,False
2014-12-21,16,False
2014-12-22,27,False
2014-12-23,25,False
2014-12-24,23,False
2014-12-25,15,False
2014-12-26,22,False
2014-12-27,13,False
2014-12-28,14,False
2014-12-29,22,False
2014-12-30,13,False
2014-12-31,13,False
2015-01-01,13,False
2015-01-02,20,False
2015-01-03,26,False
2015-01-04,28,False
2015-01-05,41,False
2015-01-06,54,False
2015-01-07,59,False
2015-01-08,66,False
2015-01-09,58,False
2015-01-10,30,False
2015-01-11,37,False
2015-01-12,63,False
2015-01-13,63,False
2015-01-14,76,False
2015-01-15,70,False
2015-01-16,58,False
2015-01-17,29,False
2015-01-18,31,False
2015-01-19,48,False
2015-01-20,61,False
2015-01-21,73,False
2015-01-22,77,False
2015-01-23,56,False
2015-01-24,33,False
2015-01-25,38,False
2015-01-26,69,False
2015-01-27,79,False
2015-01-28,78,False
2015-01-29,77,False
2015-01-30,61,False
2015-01-31,35,False
2015-02-01,45,False
2015-02-02,65,False
2015-02-03,80,False
2015-02-04,84,False
2015-02-05,82,False
2015-02-06,86,False
2015-02-07,34,False
2015-02-08,49,False
2015-02-09,80,False
2015-02-10,80,False
2015-02-11,79,False
2015-02-12,79,False
2015-02-13,62,False
2015-02-14,32,False
2015-02-15,39,False
2015-02-16,58,False
2015-02-17,75,False
2015-02-18,71,False
2015-02-19,74,False
2015-02-20,60,False
2015-02-21,31,False
2015-02-22,48,False
2015-02-23,76,False
2015-02-24,80,False
2015-02-25,74,False
2015-02-26,80,False
2015-02-27,66,False
2015-02-28,32,False
2015-03-01,44,False
2015-03-02,79,False
2015-03-03,83,False
2015-03-04,82,False
2015-03-05,79,False
2015-03-06,73,False
2015-03-07,27,False
2015-03-08,33,False
2015-03-09,81,False
2015-03-10,86,False
2015-03-11,81,False
2015-03-12,100,False
2015-03-13,73,False
2015-03-14,26,False
2015-03-15,44,False
2015-03-16,71,False
2015-03-17,75,False
2015-03-18,73,False
2015-03-19,69,False
2015-03-20,56,False
2015-03-21,31,False
2015-03-22,43,False
2015-03-23,77,False
2015-03-24,75,False
2015-03-25,61,False
2015-03-26,68,False
2015-03-27,57,False
2015-03-28,25,False
2015-03-29,35,False
2015-03-30,65,False
2015-03-31,69,False
2015-04-01,72,False
2015-04-02,52,False
2015-04-03,30,False
2015-04-04,26,False
2015-04-05,33,False
2015-04-06,50,False
2015-04-07,63,False
2015-04-08,66,False
2015-04-09,69,False
2015-04-10,57,False
2015-04-11,26,False
2015-04-12,43,False
2015-04-13,89,False
2015-04-14,72,False
2015-04-15,86,False
