date,EXC,isPartial
2011-08-04,81,False
2011-08-05,98,False
2011-08-06,74,False
2011-08-07,72,False
2011-08-08,81,False
2011-08-09,84,False
2011-08-10,64,False
2011-08-11,71,False
2011-08-12,79,False
2011-08-13,77,False
2011-08-14,78,False
2011-08-15,79,False
2011-08-16,84,False
2011-08-17,84,False
2011-08-18,76,False
2011-08-19,74,False
2011-08-20,83,False
2011-08-21,78,False
2011-08-22,94,False
2011-08-23,78,False
2011-08-24,86,False
2011-08-25,72,False
2011-08-26,76,False
2011-08-27,70,False
2011-08-28,81,False
2011-08-29,83,False
2011-08-30,82,False
2011-08-31,75,False
2011-09-01,80,False
2011-09-02,81,False
2011-09-03,58,False
2011-09-04,86,False
2011-09-05,83,False
2011-09-06,80,False
2011-09-07,92,False
2011-09-08,79,False
2011-09-09,88,False
2011-09-10,63,False
2011-09-11,79,False
2011-09-12,76,False
2011-09-13,75,False
2011-09-14,81,False
2011-09-15,97,False
2011-09-16,100,False
2011-09-17,95,False
2011-09-18,91,False
2011-09-19,96,False
2011-09-20,88,False
2011-09-21,60,False
2011-09-22,81,False
2011-09-23,88,False
2011-09-24,77,False
2011-09-25,90,False
2011-09-26,92,False
2011-09-27,84,False
2011-09-28,97,False
2011-09-29,85,False
2011-09-30,80,False
2011-10-01,73,False
2011-10-02,77,False
2011-10-03,87,False
2011-10-04,85,False
2011-10-05,70,False
2011-10-06,79,False
2011-10-07,82,False
2011-10-08,86,False
2011-10-09,92,False
2011-10-10,72,False
2011-10-11,81,False
2011-10-12,92,False
2011-10-13,82,False
2011-10-14,82,False
2011-10-15,77,False
2011-10-16,83,False
2011-10-17,80,False
2011-10-18,93,False
2011-10-19,88,False
2011-10-20,78,False
2011-10-21,80,False
2011-10-22,74,False
2011-10-23,71,False
2011-10-24,73,False
2011-10-25,97,False
2011-10-26,76,False
2011-10-27,86,False
2011-10-28,76,False
2011-10-29,81,False
2011-10-30,78,False
2011-10-31,91,False
2011-11-01,91,False
2011-11-02,82,False
2011-11-03,69,False
2011-11-04,75,False
2011-11-05,75,False
2011-11-06,95,False
2011-11-07,90,False
2011-11-08,63,False
2011-11-09,72,False
2011-11-10,74,False
2011-11-11,77,False
2011-11-12,81,False
2011-11-13,86,False
2011-11-14,88,False
2011-11-15,80,False
2011-11-16,76,False
2011-11-17,79,False
2011-11-18,77,False
2011-11-19,65,False
2011-11-20,84,False
2011-11-21,81,False
2011-11-22,79,False
2011-11-23,75,False
2011-11-24,65,False
2011-11-25,68,False
2011-11-26,78,False
2011-11-27,76,False
2011-11-28,76,False
2011-11-29,79,False
2011-11-30,78,False
2011-12-01,76,False
2011-12-02,69,False
2011-12-03,67,False
2011-12-04,82,False
2011-12-05,65,False
2011-12-06,82,False
2011-12-07,75,False
2011-12-08,69,False
2011-12-09,80,False
2011-12-10,58,False
2011-12-11,70,False
2011-12-12,74,False
2011-12-13,80,False
2011-12-14,76,False
2011-12-15,62,False
2011-12-16,78,False
2011-12-17,66,False
2011-12-18,68,False
2011-12-19,75,False
2011-12-20,65,False
2011-12-21,67,False
2011-12-22,66,False
2011-12-23,67,False
2011-12-24,89,False
2011-12-25,65,False
2011-12-26,67,False
2011-12-27,68,False
2011-12-28,71,False
2011-12-29,62,False
2011-12-30,70,False
2011-12-31,62,False
2012-01-01,67,False
2012-01-02,65,False
2012-01-03,67,False
2012-01-04,72,False
2012-01-05,74,False
2012-01-06,73,False
2012-01-07,89,False
2012-01-08,79,False
2012-01-09,74,False
2012-01-10,73,False
2012-01-11,67,False
2012-01-12,76,False
2012-01-13,67,False
2012-01-14,66,False
2012-01-15,70,False
2012-01-16,71,False
2012-01-17,65,False
2012-01-18,76,False
2012-01-19,76,False
2012-01-20,71,False
2012-01-21,72,False
2012-01-22,67,False
2012-01-23,71,False
2012-01-24,78,False
2012-01-25,81,False
2012-01-26,77,False
2012-01-27,77,False
2012-01-28,62,False
2012-01-29,78,False
2012-01-30,77,False
2012-01-31,64,False
2012-02-01,69,False
2012-02-02,72,False
2012-02-03,70,False
2012-02-04,79,False
2012-02-05,75,False
2012-02-06,64,False
2012-02-07,64,False
2012-02-08,64,False
2012-02-09,80,False
2012-02-10,69,False
2012-02-11,64,False
2012-02-12,79,False
2012-02-13,71,False
2012-02-14,64,False
2012-02-15,56,False
2012-02-16,68,False
2012-02-17,75,False
2012-02-18,61,False
2012-02-19,76,False
2012-02-20,80,False
2012-02-21,73,False
2012-02-22,68,False
2012-02-23,79,False
2012-02-24,70,False
2012-02-25,80,False
2012-02-26,67,False
2012-02-27,74,False
2012-02-28,90,False
2012-02-29,75,False
2012-03-01,78,False
2012-03-02,66,False
2012-03-03,86,False
2012-03-04,84,False
2012-03-05,83,False
2012-03-06,70,False
2012-03-07,81,False
2012-03-08,66,False
2012-03-09,72,False
2012-03-10,70,False
2012-03-11,79,False
2012-03-12,75,False
2012-03-13,86,False
2012-03-14,83,False
2012-03-15,66,False
2012-03-16,66,False
2012-03-17,77,False
2012-03-18,88,False
2012-03-19,86,False
2012-03-20,74,False
2012-03-21,86,False
2012-03-22,75,False
2012-03-23,83,False
2012-03-24,69,False
2012-03-25,83,False
2012-03-26,82,False
2012-03-27,83,False
2012-03-28,83,False
2012-03-29,83,False
2012-03-30,69,False
2012-03-31,79,False
2012-04-01,98,False
2012-04-02,72,False
2012-04-03,68,False
2012-04-04,68,False
2012-04-05,90,False
2012-04-06,67,False
2012-04-07,81,False
2012-04-08,67,False
2012-04-09,74,False
2012-04-10,73,False
2012-04-11,84,False
2012-04-12,93,False
2012-04-13,86,False
2012-04-14,72,False
2012-04-15,100,False
2012-04-16,95,False
2012-04-17,79,False
2012-04-18,86,False
2012-04-19,84,False
2012-04-20,84,False
2012-04-21,86,False
2012-04-22,86,False
2012-04-23,97,False
2012-04-24,96,False
2012-04-25,73,False
2012-04-26,66,False
2012-04-27,81,False
2012-04-28,78,False
2012-04-29,87,False
2012-04-30,87,False
2012-05-01,90,False
2012-05-02,72,False
2012-05-03,81,False
2012-05-04,76,False
2012-05-05,78,False
2012-05-06,90,False
2012-05-07,71,False
2012-05-08,79,False
2012-05-09,86,False
2012-05-10,71,False
2012-05-11,67,False
2012-05-12,71,False
2012-05-13,98,False
2012-05-14,74,False
2012-05-15,81,False
2012-05-16,89,False
2012-05-17,77,False
2012-05-18,87,False
2012-05-19,96,False
2012-05-20,98,False
2012-05-21,95,False
2012-05-22,86,False
2012-05-23,86,False
2012-05-24,74,False
2012-05-25,78,False
2012-05-26,68,False
2012-05-27,69,False
2012-05-28,77,False
2012-05-29,87,False
2012-05-30,90,False
2012-05-31,86,False
2012-06-01,80,False
2012-06-02,78,False
2012-06-03,85,False
2012-06-04,74,False
2012-06-05,76,False
2012-06-06,72,False
2012-06-07,71,False
2012-06-08,70,False
2012-06-09,68,False
2012-06-10,71,False
2012-06-11,85,False
2012-06-12,79,False
2012-06-13,80,False
2012-06-14,70,False
2012-06-15,63,False
2012-06-16,67,False
2012-06-17,82,False
2012-06-18,76,False
2012-06-19,82,False
2012-06-20,65,False
2012-06-21,84,False
2012-06-22,76,False
2012-06-23,74,False
2012-06-24,74,False
2012-06-25,81,False
2012-06-26,88,False
2012-06-27,80,False
2012-06-28,63,False
2012-06-29,66,False
2012-06-30,70,False
2012-07-01,80,False
2012-07-02,85,False
2012-07-03,65,False
2012-07-04,78,False
2012-07-05,69,False
2012-07-06,71,False
2012-07-07,68,False
2012-07-08,91,False
2012-07-09,71,False
2012-07-10,83,False
2012-07-11,79,False
2012-07-12,81,False
2012-07-13,78,False
2012-07-14,69,False
2012-07-15,89,False
2012-07-16,89,False
2012-07-17,74,False
2012-07-18,66,False
2012-07-19,81,False
2012-07-20,67,False
2012-07-21,70,False
2012-07-22,84,False
2012-07-23,81,False
2012-07-24,84,False
2012-07-25,84,False
2012-07-26,69,False
2012-07-27,80,False
2012-07-28,72,False
2012-07-29,67,False
