date,MELI,isPartial
2017-10-24,46,False
2017-10-25,44,False
2017-10-26,42,False
2017-10-27,40,False
2017-10-28,49,False
2017-10-29,43,False
2017-10-30,43,False
2017-10-31,41,False
2017-11-01,44,False
2017-11-02,50,False
2017-11-03,54,False
2017-11-04,45,False
2017-11-05,55,False
2017-11-06,45,False
2017-11-07,49,False
2017-11-08,46,False
2017-11-09,42,False
2017-11-10,43,False
2017-11-11,50,False
2017-11-12,46,False
2017-11-13,38,False
2017-11-14,45,False
2017-11-15,44,False
2017-11-16,44,False
2017-11-17,54,False
2017-11-18,48,False
2017-11-19,46,False
2017-11-20,41,False
2017-11-21,48,False
2017-11-22,50,False
2017-11-23,51,False
2017-11-24,47,False
2017-11-25,41,False
2017-11-26,46,False
2017-11-27,47,False
2017-11-28,46,False
2017-11-29,47,False
2017-11-30,42,False
2017-12-01,45,False
2017-12-02,43,False
2017-12-03,51,False
2017-12-04,45,False
2017-12-05,44,False
2017-12-06,44,False
2017-12-07,47,False
2017-12-08,41,False
2017-12-09,45,False
2017-12-10,54,False
2017-12-11,45,False
2017-12-12,47,False
2017-12-13,54,False
2017-12-14,49,False
2017-12-15,47,False
2017-12-16,45,False
2017-12-17,46,False
2017-12-18,50,False
2017-12-19,49,False
2017-12-20,49,False
2017-12-21,51,False
2017-12-22,56,False
2017-12-23,52,False
2017-12-24,45,False
2017-12-25,39,False
2017-12-26,48,False
2017-12-27,49,False
2017-12-28,48,False
2017-12-29,43,False
2017-12-30,47,False
2017-12-31,37,False
2018-01-01,68,False
2018-01-02,93,False
2018-01-03,81,False
2018-01-04,89,False
2018-01-05,89,False
2018-01-06,78,False
2018-01-07,91,False
2018-01-08,90,False
2018-01-09,96,False
2018-01-10,74,False
2018-01-11,89,False
2018-01-12,94,False
2018-01-13,80,False
2018-01-14,93,False
2018-01-15,86,False
2018-01-16,78,False
2018-01-17,73,False
2018-01-18,85,False
2018-01-19,82,False
2018-01-20,78,False
2018-01-21,79,False
2018-01-22,88,False
2018-01-23,79,False
2018-01-24,88,False
2018-01-25,81,False
2018-01-26,91,False
2018-01-27,86,False
2018-01-28,83,False
2018-01-29,84,False
2018-01-30,80,False
2018-01-31,78,False
2018-02-01,86,False
2018-02-02,84,False
2018-02-03,81,False
2018-02-04,82,False
2018-02-05,92,False
2018-02-06,87,False
2018-02-07,74,False
2018-02-08,84,False
2018-02-09,81,False
2018-02-10,80,False
2018-02-11,70,False
2018-02-12,85,False
2018-02-13,79,False
2018-02-14,87,False
2018-02-15,86,False
2018-02-16,87,False
2018-02-17,82,False
2018-02-18,73,False
2018-02-19,83,False
2018-02-20,78,False
2018-02-21,93,False
2018-02-22,98,False
2018-02-23,83,False
2018-02-24,83,False
2018-02-25,100,False
2018-02-26,94,False
2018-02-27,82,False
2018-02-28,86,False
2018-03-01,84,False
2018-03-02,80,False
2018-03-03,88,False
2018-03-04,79,False
2018-03-05,80,False
2018-03-06,83,False
2018-03-07,86,False
2018-03-08,83,False
2018-03-09,78,False
2018-03-10,71,False
2018-03-11,85,False
2018-03-12,92,False
2018-03-13,79,False
2018-03-14,81,False
2018-03-15,70,False
2018-03-16,67,False
2018-03-17,87,False
2018-03-18,86,False
2018-03-19,73,False
2018-03-20,84,False
2018-03-21,76,False
2018-03-22,77,False
2018-03-23,92,False
2018-03-24,74,False
2018-03-25,78,False
2018-03-26,79,False
2018-03-27,66,False
2018-03-28,73,False
2018-03-29,81,False
2018-03-30,67,False
2018-03-31,76,False
2018-04-01,82,False
2018-04-02,71,False
2018-04-03,93,False
2018-04-04,98,False
2018-04-05,86,False
2018-04-06,85,False
2018-04-07,77,False
2018-04-08,81,False
2018-04-09,83,False
2018-04-10,79,False
2018-04-11,73,False
2018-04-12,80,False
2018-04-13,79,False
2018-04-14,59,False
2018-04-15,73,False
2018-04-16,74,False
2018-04-17,75,False
2018-04-18,67,False
2018-04-19,73,False
2018-04-20,75,False
2018-04-21,75,False
2018-04-22,68,False
2018-04-23,68,False
2018-04-24,75,False
2018-04-25,77,False
2018-04-26,83,False
2018-04-27,81,False
2018-04-28,76,False
2018-04-29,82,False
2018-04-30,78,False
2018-05-01,72,False
2018-05-02,74,False
2018-05-03,76,False
2018-05-04,72,False
2018-05-05,75,False
2018-05-06,71,False
2018-05-07,74,False
2018-05-08,70,False
2018-05-09,89,False
2018-05-10,85,False
2018-05-11,86,False
2018-05-12,80,False
2018-05-13,69,False
2018-05-14,88,False
2018-05-15,84,False
2018-05-16,75,False
2018-05-17,77,False
2018-05-18,85,False
2018-05-19,75,False
2018-05-20,82,False
2018-05-21,90,False
2018-05-22,87,False
2018-05-23,83,False
2018-05-24,72,False
2018-05-25,88,False
2018-05-26,78,False
2018-05-27,71,False
2018-05-28,82,False
2018-05-29,85,False
2018-05-30,77,False
2018-05-31,84,False
2018-06-01,75,False
2018-06-02,84,False
2018-06-03,72,False
2018-06-04,67,False
2018-06-05,76,False
2018-06-06,78,False
2018-06-07,84,False
2018-06-08,70,False
2018-06-09,85,False
2018-06-10,77,False
2018-06-11,90,False
2018-06-12,81,False
2018-06-13,79,False
2018-06-14,85,False
2018-06-15,82,False
2018-06-16,70,False
2018-06-17,73,False
2018-06-18,82,False
2018-06-19,76,False
2018-06-20,66,False
2018-06-21,75,False
2018-06-22,76,False
2018-06-23,71,False
2018-06-24,74,False
2018-06-25,89,False
2018-06-26,79,False
2018-06-27,69,False
2018-06-28,85,False
2018-06-29,86,False
2018-06-30,71,False
2018-07-01,54,False
2018-07-02,64,False
2018-07-03,59,False
2018-07-04,67,False
2018-07-05,70,False
2018-07-06,58,False
2018-07-07,65,False
2018-07-08,61,False
2018-07-09,73,False
2018-07-10,68,False
2018-07-11,61,False
2018-07-12,65,False
2018-07-13,76,False
2018-07-14,61,False
2018-07-15,53,False
2018-07-16,64,False
2018-07-17,69,False
2018-07-18,77,False
2018-07-19,61,False
2018-07-20,72,False
2018-07-21,75,False
2018-07-22,75,False
2018-07-23,74,False
2018-07-24,63,False
2018-07-25,62,False
2018-07-26,62,False
2018-07-27,70,False
2018-07-28,62,False
2018-07-29,65,False
2018-07-30,63,False
2018-07-31,63,False
2018-08-01,59,False
2018-08-02,64,False
2018-08-03,67,False
2018-08-04,63,False
2018-08-05,56,False
2018-08-06,65,False
2018-08-07,63,False
2018-08-08,69,False
2018-08-09,76,False
2018-08-10,58,False
2018-08-11,58,False
2018-08-12,60,False
2018-08-13,74,False
2018-08-14,78,False
2018-08-15,51,False
2018-08-16,56,False
2018-08-17,62,False
2018-08-18,70,False
2018-08-19,67,False
2018-08-20,63,False
2018-08-21,63,False
2018-08-22,56,False
2018-08-23,62,False
2018-08-24,76,False
2018-08-25,72,False
2018-08-26,56,False
2018-08-27,70,False
2018-08-28,73,False
2018-08-29,65,False
2018-08-30,67,False
2018-08-31,69,False
2018-09-01,64,False
2018-09-02,55,False
2018-09-03,75,False
2018-09-04,66,False
2018-09-05,56,False
2018-09-06,62,False
2018-09-07,50,False
2018-09-08,62,False
2018-09-09,54,False
2018-09-10,65,False
2018-09-11,68,False
2018-09-12,58,False
2018-09-13,65,False
2018-09-14,64,False
2018-09-15,58,False
2018-09-16,68,False
2018-09-17,53,False
2018-09-18,55,False
2018-09-19,50,False
2018-09-20,68,False
2018-09-21,93,False
2018-09-22,84,False
2018-09-23,100,False
2018-09-24,80,False
2018-09-25,65,False
2018-09-26,72,False
2018-09-27,63,False
2018-09-28,65,False
2018-09-29,62,False
2018-09-30,63,False
2018-10-01,53,False
2018-10-02,60,False
2018-10-03,66,False
2018-10-04,63,False
2018-10-05,65,False
2018-10-06,67,False
2018-10-07,69,False
2018-10-08,57,False
2018-10-09,56,False
2018-10-10,62,False
2018-10-11,75,False
2018-10-12,60,False
2018-10-13,56,False
2018-10-14,60,False
2018-10-15,62,False
2018-10-16,65,False
2018-10-17,70,False
2018-10-18,52,False
2018-10-19,59,False
2018-10-20,62,False
2018-10-21,63,False
2018-10-22,61,False
2018-10-23,63,False
2018-10-24,67,False
2018-10-25,63,False
2018-10-26,67,False
2018-10-27,62,False
2018-10-28,64,False
2018-10-29,51,False
2018-10-30,66,False
2018-10-31,57,False
2018-11-01,62,False
2018-11-02,63,False
2018-11-03,54,False
2018-11-04,59,False
2018-11-05,56,False
2018-11-06,61,False
2018-11-07,57,False
2018-11-08,59,False
2018-11-09,58,False
2018-11-10,56,False
2018-11-11,59,False
2018-11-12,52,False
2018-11-13,56,False
2018-11-14,68,False
2018-11-15,59,False
2018-11-16,56,False
2018-11-17,63,False
2018-11-18,58,False
2018-11-19,62,False
2018-11-20,56,False
2018-11-21,67,False
2018-11-22,58,False
2018-11-23,63,False
2018-11-24,62,False
2018-11-25,58,False
2018-11-26,63,False
2018-11-27,66,False
2018-11-28,64,False
2018-11-29,60,False
2018-11-30,61,False
2018-12-01,59,False
2018-12-02,58,False
2018-12-03,60,False
2018-12-04,71,False
2018-12-05,72,False
2018-12-06,63,False
2018-12-07,57,False
2018-12-08,67,False
2018-12-09,66,False
2018-12-10,62,False
2018-12-11,58,False
2018-12-12,61,False
2018-12-13,82,False
2018-12-14,74,False
2018-12-15,77,False
2018-12-16,65,False
2018-12-17,76,False
2018-12-18,68,False
2018-12-19,68,False
2018-12-20,51,False
2018-12-21,69,False
2018-12-22,60,False
2018-12-23,57,False
2018-12-24,48,False
2018-12-25,58,False
2018-12-26,59,False
2018-12-27,56,False
2018-12-28,63,False
2018-12-29,59,False
2018-12-30,65,False
2018-12-31,54,False
2019-01-01,100,False
2019-01-02,64,False
2019-01-03,59,False
2019-01-04,57,False
2019-01-05,64,False
2019-01-06,63,False
2019-01-07,62,False
2019-01-08,52,False
2019-01-09,63,False
2019-01-10,65,False
2019-01-11,57,False
2019-01-12,61,False
2019-01-13,60,False
2019-01-14,59,False
2019-01-15,62,False
2019-01-16,65,False
2019-01-17,56,False
2019-01-18,57,False
2019-01-19,57,False
2019-01-20,57,False
2019-01-21,59,False
2019-01-22,62,False
2019-01-23,55,False
2019-01-24,53,False
2019-01-25,56,False
2019-01-26,58,False
2019-01-27,72,False
2019-01-28,63,False
2019-01-29,58,False
2019-01-30,52,False
2019-01-31,58,False
2019-02-01,58,False
2019-02-02,58,False
2019-02-03,57,False
2019-02-04,63,False
2019-02-05,62,False
2019-02-06,65,False
2019-02-07,51,False
2019-02-08,51,False
2019-02-09,61,False
2019-02-10,64,False
2019-02-11,63,False
2019-02-12,64,False
2019-02-13,56,False
2019-02-14,61,False
2019-02-15,63,False
2019-02-16,63,False
2019-02-17,51,False
2019-02-18,61,False
2019-02-19,61,False
2019-02-20,60,False
2019-02-21,59,False
2019-02-22,58,False
2019-02-23,67,False
2019-02-24,78,False
2019-02-25,66,False
2019-02-26,69,False
2019-02-27,76,False
2019-02-28,76,False
2019-03-01,68,False
2019-03-02,71,False
2019-03-03,50,False
2019-03-04,69,False
2019-03-05,66,False
2019-03-06,66,False
2019-03-07,59,False
2019-03-08,61,False
2019-03-09,64,False
2019-03-10,60,False
2019-03-11,54,False
2019-03-12,69,False
2019-03-13,64,False
2019-03-14,66,False
2019-03-15,79,False
2019-03-16,67,False
2019-03-17,59,False
2019-03-18,61,False
2019-03-19,58,False
2019-03-20,66,False
2019-03-21,61,False
2019-03-22,57,False
2019-03-23,58,False
2019-03-24,60,False
2019-03-25,57,False
2019-03-26,60,False
2019-03-27,56,False
2019-03-28,72,False
2019-03-29,68,False
2019-03-30,68,False
2019-03-31,57,False
2019-04-01,52,False
2019-04-02,61,False
2019-04-03,51,False
2019-04-04,56,False
2019-04-05,58,False
2019-04-06,60,False
2019-04-07,63,False
2019-04-08,59,False
2019-04-09,64,False
2019-04-10,60,False
2019-04-11,60,False
2019-04-12,55,False
2019-04-13,74,False
2019-04-14,59,False
2019-04-15,67,False
2019-04-16,57,False
2019-04-17,58,False
2019-04-18,81,False
2019-04-19,58,False
2019-04-20,58,False
2019-04-21,56,False
2019-04-22,65,False
2019-04-23,53,False
2019-04-24,61,False
2019-04-25,62,False
2019-04-26,61,False
2019-04-27,52,False
2019-04-28,45,False
2019-04-29,53,False
2019-04-30,62,False
2019-05-01,55,False
2019-05-02,54,False
2019-05-03,83,False
2019-05-04,62,False
2019-05-05,61,False
2019-05-06,64,False
2019-05-07,67,False
2019-05-08,61,False
2019-05-09,58,False
2019-05-10,59,False
2019-05-11,67,False
2019-05-12,63,False
2019-05-13,59,False
2019-05-14,62,False
2019-05-15,68,False
2019-05-16,63,False
2019-05-17,62,False
2019-05-18,51,False
2019-05-19,59,False
2019-05-20,62,False
2019-05-21,70,False
2019-05-22,69,False
2019-05-23,56,False
2019-05-24,62,False
2019-05-25,66,False
2019-05-26,58,False
2019-05-27,62,False
2019-05-28,58,False
2019-05-29,63,False
2019-05-30,56,False
2019-05-31,64,False
2019-06-01,62,False
2019-06-02,58,False
2019-06-03,57,False
2019-06-04,64,False
2019-06-05,69,False
2019-06-06,53,False
2019-06-07,66,False
2019-06-08,55,False
2019-06-09,77,False
2019-06-10,67,False
2019-06-11,74,False
2019-06-12,63,False
2019-06-13,64,False
2019-06-14,57,False
2019-06-15,59,False
2019-06-16,58,False
2019-06-17,64,False
2019-06-18,61,False
2019-06-19,61,False
2019-06-20,68,False
2019-06-21,60,False
2019-06-22,66,False
2019-06-23,63,False
2019-06-24,70,False
2019-06-25,65,False
2019-06-26,64,False
2019-06-27,62,False
2019-06-28,68,False
2019-06-29,57,False
2019-06-30,63,False
2019-07-01,53,False
2019-07-02,44,False
2019-07-03,55,False
2019-07-04,42,False
2019-07-05,51,False
2019-07-06,46,False
2019-07-07,43,False
2019-07-08,46,False
2019-07-09,45,False
2019-07-10,47,False
2019-07-11,55,False
2019-07-12,49,False
2019-07-13,53,False
2019-07-14,50,False
2019-07-15,46,False
2019-07-16,41,False
2019-07-17,49,False
2019-07-18,45,False
2019-07-19,47,False
2019-07-20,42,False
2019-07-21,44,False
2019-07-22,52,False
2019-07-23,44,False
2019-07-24,46,False
2019-07-25,53,False
2019-07-26,44,False
