date,FANG,isPartial
2017-09-28,60,False
2017-09-29,62,False
2017-09-30,57,False
2017-10-01,58,False
2017-10-02,51,False
2017-10-03,57,False
2017-10-04,57,False
2017-10-05,58,False
2017-10-06,61,False
2017-10-07,57,False
2017-10-08,54,False
2017-10-09,59,False
2017-10-10,65,False
2017-10-11,58,False
2017-10-12,58,False
2017-10-13,62,False
2017-10-14,66,False
2017-10-15,67,False
2017-10-16,60,False
2017-10-17,59,False
2017-10-18,59,False
2017-10-19,58,False
2017-10-20,64,False
2017-10-21,65,False
2017-10-22,62,False
2017-10-23,58,False
2017-10-24,61,False
2017-10-25,60,False
2017-10-26,61,False
2017-10-27,63,False
2017-10-28,69,False
2017-10-29,67,False
2017-10-30,59,False
2017-10-31,68,False
2017-11-01,60,False
2017-11-02,60,False
2017-11-03,62,False
2017-11-04,54,False
2017-11-05,62,False
2017-11-06,55,False
2017-11-07,67,False
2017-11-08,67,False
2017-11-09,61,False
2017-11-10,58,False
2017-11-11,64,False
2017-11-12,66,False
2017-11-13,64,False
2017-11-14,63,False
2017-11-15,60,False
2017-11-16,59,False
2017-11-17,67,False
2017-11-18,59,False
2017-11-19,60,False
2017-11-20,59,False
2017-11-21,58,False
2017-11-22,59,False
2017-11-23,53,False
2017-11-24,56,False
2017-11-25,59,False
2017-11-26,68,False
2017-11-27,58,False
2017-11-28,56,False
2017-11-29,62,False
2017-11-30,68,False
2017-12-01,57,False
2017-12-02,59,False
2017-12-03,65,False
2017-12-04,61,False
2017-12-05,63,False
2017-12-06,54,False
2017-12-07,56,False
2017-12-08,56,False
2017-12-09,59,False
2017-12-10,61,False
2017-12-11,59,False
2017-12-12,59,False
2017-12-13,54,False
2017-12-14,56,False
2017-12-15,60,False
2017-12-16,65,False
2017-12-17,68,False
2017-12-18,55,False
2017-12-19,58,False
2017-12-20,65,False
2017-12-21,63,False
2017-12-22,59,False
2017-12-23,59,False
2017-12-24,66,False
2017-12-25,62,False
2017-12-26,63,False
2017-12-27,68,False
2017-12-28,66,False
2017-12-29,66,False
2017-12-30,67,False
2017-12-31,73,False
2018-01-01,78,False
2018-01-02,82,False
2018-01-03,94,False
2018-01-04,85,False
2018-01-05,85,False
2018-01-06,85,False
2018-01-07,91,False
2018-01-08,72,False
2018-01-09,80,False
2018-01-10,74,False
2018-01-11,81,False
2018-01-12,86,False
2018-01-13,91,False
2018-01-14,86,False
2018-01-15,76,False
2018-01-16,74,False
2018-01-17,85,False
2018-01-18,80,False
2018-01-19,77,False
2018-01-20,87,False
2018-01-21,83,False
2018-01-22,83,False
2018-01-23,85,False
2018-01-24,83,False
2018-01-25,82,False
2018-01-26,84,False
2018-01-27,93,False
2018-01-28,92,False
2018-01-29,91,False
2018-01-30,87,False
2018-01-31,81,False
2018-02-01,86,False
2018-02-02,86,False
2018-02-03,89,False
2018-02-04,93,False
2018-02-05,79,False
2018-02-06,77,False
2018-02-07,86,False
2018-02-08,77,False
2018-02-09,75,False
2018-02-10,87,False
2018-02-11,100,False
2018-02-12,82,False
2018-02-13,78,False
2018-02-14,89,False
2018-02-15,74,False
2018-02-16,84,False
2018-02-17,79,False
2018-02-18,80,False
2018-02-19,76,False
2018-02-20,76,False
2018-02-21,74,False
2018-02-22,79,False
2018-02-23,74,False
2018-02-24,86,False
2018-02-25,81,False
2018-02-26,82,False
2018-02-27,80,False
2018-02-28,78,False
2018-03-01,74,False
2018-03-02,82,False
2018-03-03,85,False
2018-03-04,86,False
2018-03-05,70,False
2018-03-06,76,False
2018-03-07,79,False
2018-03-08,80,False
2018-03-09,80,False
2018-03-10,81,False
2018-03-11,77,False
2018-03-12,78,False
2018-03-13,77,False
2018-03-14,71,False
2018-03-15,80,False
2018-03-16,78,False
2018-03-17,79,False
2018-03-18,76,False
2018-03-19,84,False
2018-03-20,83,False
2018-03-21,70,False
2018-03-22,85,False
2018-03-23,80,False
2018-03-24,89,False
2018-03-25,79,False
2018-03-26,84,False
2018-03-27,78,False
2018-03-28,97,False
2018-03-29,92,False
2018-03-30,84,False
2018-03-31,82,False
2018-04-01,84,False
2018-04-02,85,False
2018-04-03,82,False
2018-04-04,80,False
2018-04-05,74,False
2018-04-06,77,False
2018-04-07,82,False
2018-04-08,78,False
2018-04-09,82,False
2018-04-10,72,False
2018-04-11,74,False
2018-04-12,73,False
2018-04-13,73,False
2018-04-14,78,False
2018-04-15,86,False
2018-04-16,75,False
2018-04-17,72,False
2018-04-18,83,False
2018-04-19,75,False
2018-04-20,75,False
2018-04-21,75,False
2018-04-22,81,False
2018-04-23,73,False
2018-04-24,83,False
2018-04-25,78,False
2018-04-26,83,False
2018-04-27,80,False
2018-04-28,83,False
2018-04-29,84,False
2018-04-30,78,False
2018-05-01,76,False
2018-05-02,73,False
2018-05-03,72,False
2018-05-04,80,False
2018-05-05,78,False
2018-05-06,80,False
2018-05-07,71,False
2018-05-08,87,False
2018-05-09,77,False
2018-05-10,81,False
2018-05-11,82,False
2018-05-12,76,False
2018-05-13,83,False
2018-05-14,77,False
2018-05-15,84,False
2018-05-16,84,False
2018-05-17,90,False
2018-05-18,82,False
2018-05-19,77,False
2018-05-20,82,False
2018-05-21,73,False
2018-05-22,74,False
2018-05-23,76,False
2018-05-24,70,False
2018-05-25,76,False
2018-05-26,76,False
2018-05-27,77,False
2018-05-28,73,False
2018-05-29,69,False
2018-05-30,71,False
2018-05-31,73,False
2018-06-01,73,False
2018-06-02,72,False
2018-06-03,68,False
2018-06-04,71,False
2018-06-05,77,False
2018-06-06,76,False
2018-06-07,74,False
2018-06-08,74,False
2018-06-09,79,False
2018-06-10,78,False
2018-06-11,70,False
2018-06-12,74,False
2018-06-13,80,False
2018-06-14,76,False
2018-06-15,70,False
2018-06-16,76,False
2018-06-17,77,False
2018-06-18,74,False
2018-06-19,73,False
2018-06-20,70,False
2018-06-21,76,False
2018-06-22,72,False
2018-06-23,84,False
2018-06-24,79,False
2018-06-25,75,False
2018-06-26,69,False
2018-06-27,74,False
2018-06-28,67,False
2018-06-29,79,False
2018-06-30,70,False
2018-07-01,55,False
2018-07-02,48,False
2018-07-03,51,False
